"Method","samp1","samp2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","S1_10B","S10_1B",0.00044230349470768,0.305388909101406,0.331976074809945,0.00323084903998613,0.358961863553956
"CbMPDiCbraya","S1_10B","S11_1Z",0.000778146373428349,0.270054044924045,0.327890016338334,0.00693794106779871,0.394339851296394
"CbMPDiCbraya","S1_10B","S12_1D",0.000124615768048517,0.262196590753227,0.25778733658512,0.00602462933791285,0.473866827555691
"CbMPDiCbraya","S1_10B","S13_2B",0.00308389358798627,0.214601996117573,0.311125531766718,0.000604394412821304,0.470584184114902
"CbMPDiCbraya","S1_10B","S14_2Z",0.0028557846523806,0.233733267767635,0.533621991762942,0.00280272784697914,0.226986227970063
"CbMPDiCbraya","S1_10B","S15_2D",0.00345102124745368,0.231259339255639,0.597386028726383,0.016003793083148,0.151899817687376
"CbMPDiCbraya","S1_10B","S16_3B",0.00405352893329671,0.162732487672676,0.588986714522439,0.00270136384318771,0.2415259050284
"CbMPDiCbraya","S1_10B","S17_3Z",0,0.374069665222819,0.214032489831233,0.0245147431481317,0.387383101797816
"CbMPDiCbraya","S1_10B","S18_3D",0.000470477534697718,0.266519439895064,0.549462020385839,0.00638985960812694,0.177158202576272
"CbMPDiCbraya","S1_10B","S19_4B",0,0.23424165845277,0.406871076331116,0.000766629959204505,0.35812063525691
"CbMPDiCbraya","S1_10B","S2_10Z",0,0.424850151602726,0.0469522464859964,0.0184092745479211,0.509788327363356
"CbMPDiCbraya","S1_10B","S20_4Z",0.00267503888800522,0.247704570945084,0.456201905034132,0.000785988193001819,0.292632496939777
"CbMPDiCbraya","S1_10B","S21_4D",0,0.22919125489027,0.34373913615806,0.00345699467437176,0.423612614277298
"CbMPDiCbraya","S1_10B","S22_5B",0.0651464495919086,0.15253728474623,0.532800216746799,0.00505108650977011,0.244464962405292
"CbMPDiCbraya","S1_10B","S23_5Z",0.00650059053883385,0.367740065658777,0.306551770986413,0.00779609867740518,0.311411474138571
"CbMPDiCbraya","S1_10B","S24_5D",0.000734192063518077,0.28168321486321,0.518694237550172,0.00750777308621274,0.191380582436887
"CbMPDiCbraya","S1_10B","S25_6B",0.147498353901214,0.208349552711434,0.36125301616029,0.000135495912331875,0.282763581314731
"CbMPDiCbraya","S1_10B","S26_6Z",0.00066970948276653,0.108141546960487,0.569194382699952,0.00516175758067749,0.316832603276117
"CbMPDiCbraya","S1_10B","S27_6D",0.00512369111576013,0.0523424429911451,0.632148275448786,0.00578137958920677,0.304604210855102
"CbMPDiCbraya","S1_10B","S28_7B",0.0194092253658529,0.294965906937703,0.421175032566053,0.0102746841061334,0.254175151024258
"CbMPDiCbraya","S1_10B","S29_7Z",0.0049113166406505,0.133975841888989,0.541774432174594,0.00860095744744426,0.310737451848322
"CbMPDiCbraya","S1_10B","S3_10D",0.00028048765150067,0.355392975465992,0.0582913760142446,0.0200990151869586,0.565936145681304
