"Method","GroupBasedOn","Group","Index","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71","bin72","bin73","bin74","bin75","bin76","bin77","bin78"
"CbMPDiCbraya","Management","Pre","HeS","0","0","0.0185380350399104","0","0","0","0","0","0","0.253128342746663","0.171000446419713","0.017068942253417","0.148828416479644","0","0.022566731992378","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0751290019878781","0","0","0","0","0","0","0","0.0459953891694481","0","0","0","0","0","0","0","0","0","0","0","0.0615308532116212","0","0.0521666152975693","0.0533461802551119","0","0","0.117781592261453","0.00496473788141001","0","0","0","0","0","0","0","0","0.00634972793633348","0","0","0","0","0.145639359869548","0"
"CbMPDiCbraya","Management","Pre","HoS","0.0901275617812005","0","0.33648573675656","0.157115539817619","0.0392258675378181","0.0409975126086159","0","0.424255614676505","0","0","0.0210016744682899","0.101513578696918","0.029683829722163","0.237531440431108","0","0","0.649184113302799","0.0771979909852988","0","0.00349834841860716","0","0.0924062990455386","0.205758566459095","0","0.0750207617270036","0.0248123224062936","0.0489532090942396","0","0.258483443290997","0.211110382677349","0.655169964505663","0","0.0122544857625406","0","0.661415143436659","0.157112961438756","0.790318728483117","0","0.622742356960516","0.51520059322208","0.00578468312645995","0.00172222749193715","0.256012362194976","0.326595072323095","0.0105435756053518","0.325315572449117","0.00043365998696568","0","0.113225499167546","0.737543649347987","0.000683927595053073","0.0117511467159773","0.0894194608245759","0.297918667437499","0.0568702849606106","0.288234207086066","0.0827503939508278","0.0644587855316821","0.349168744835175","0","0.0530135765313377","0.00705084116276221","0","0.324582672843587","0","0.0221666562281034","0","0.426555181555376","0.135683816282707","0.0234062255509691","0","0","0.675779950890506","0","0","0","0.568776715681965","0.0750670693439244"
"CbMPDiCbraya","Management","Pre","DL","0.13035759555333","0","0.391732216224184","0.14502968813605","0.783878265373434","0.565880028093528","0.610287283505487","0.446071116379216","0","0.436118138713623","0","0","0","0","0","0.704202959523393","0.0684150734644274","0.489922583438635","0.0256126179664338","0.715931904231727","0","0","0","0","0.754576443689869","0.508281663175462","0.824723238131397","0.0389154151281003","0.151213257442861","0.597338797047168","0","0","0","0.0376785037376379","0.0572901448425707","0.720380417612461","0","0.0303284264217652","0.348895237507874","0.356891673962071","0","0","0.630642272538425","0.538495881819849","0","0","0.836540149690137","0.770920580726301","0","0.158767690201974","0.904529448840658","0.293491679328318","0.0960592404640809","0","0","0","0.54889484938467","0.17052861479935","0","0","0","0","0","0.557523605635538","0","0","0","0.473469375952278","0.759605111953673","0","0.0613146917660119","0.887284339908501","0.0922129277464761","0","0.630608848480708","0.254748660727938","0.254465023547182","0.547292780654323"
"CbMPDiCbraya","Management","Pre","HD","0","0.0731146638224118","0","0","0","0","0","0.00982524709095467","0.293235118779458","0.000582927385827158","0.690704785107297","0.418405181080123","0","0.0466065461837721","0.110341094131346","0.00812890422452991","0.0130959247974345","0","0.0690332256356231","0","0.382495777624289","0.00398134121625508","0.0266791257884291","0.23553975730951","0","0.000226753476998112","0.00100225138572107","0.00660094206615191","0.00103398619278822","0.016854964777196","0.0780826463546512","0.146414078332795","0.147788500514481","0.0170558659306477","0","0","0","0.0249104486586685","0.00300475139573285","0.000273297227671996","0.00549281630593063","0.00970486725238385","0.00468951199204774","0.033374447188145","0.488058383548481","0.100221236902928","0.00281852564552406","0.0101787119724578","0.0315618803958672","0","0.00219738590883297","0","0.036361428858962","0.06998270435448","0","0.132925065533704","0","0","0.191648184893924","0.0807748794299497","0.0340140033919626","0.0916211994851557","0.00359118278551268","0","0.26480007826393","0.977833343771897","0.201473235553458","0.0056071976780015","0.00345917057351762","0.111806564898547","0","0.00395060328258352","0","0.08424928119694","0.0171102084132187","0.0274845195502252","0","0.000947756210609447"
"CbMPDiCbraya","Management","Pre","DR","0.779514842665469","0.926885336177588","0.253244011979346","0.69785477204633","0.176895867088748","0.393122459297856","0.389712716494514","0.119848021853324","0.706764881220542","0.310170591153886","0.1172930940047","0.463012297969542","0.821487753798193","0.71586201338512","0.867092173876276","0.287668136252077","0.269304888435339","0.432879425576066","0.905354156397943","0.280569747349666","0.617504222375711","0.903612359738206","0.767562307752476","0.76446024269049","0.170402794583128","0.466679260941247","0.125321301388643","0.954483642805748","0.589269313073354","0.174695855498287","0.266747389139686","0.853585921667205","0.839957013722979","0.945265630331714","0.28129471172077","0.0473776189609056","0.209681271516883","0.944761124919566","0.0253576541358774","0.127634435588177","0.988722500567609","0.988572905255679","0.108655853274552","0.0555392094994629","0.501398040846167","0.574463190647956","0.160207664677373","0.218900707301241","0.855212620436586","0.103688660450038","0.0925892376554557","0.694757173955705","0.778159869852381","0.632098628208021","0.943129715039389","0.517309874168609","0.368354756664502","0.712845984371399","0.405836890015789","0.91922512057005","0.9129724200767","0.783546367090629","0.991444079333077","0.117893721520875","0.73519992173607","0","0.798526764446542","0.0943682448143443","0.101251901190103","0.864787209550483","0.938685308233988","0.102415328872582","0.232007121363018","0.91575071880306","0.352280943106073","0.717766819721837","0.0311189009013052","0.376692393791143"
"CbMPDiCbraya","Management","Pre","DominantProcess","DR","DR","DL","DR","DL","DL","DL","DL","DR","DL","HD","DR","DR","DR","DR","DL","HoS","DL","DR","DL","DR","DR","DR","DR","DL","DL","DL","DR","DR","DL","HoS","DR","DR","DR","HoS","DL","HoS","DR","HoS","HoS","DR","DR","DL","DL","DR","DR","DL","DL","DR","HoS","DL","DR","DR","DR","DR","DR","DL","DR","DR","DR","DR","DR","DR","DL","DR","HD","DR","DL","DL","DR","DR","DL","HoS","DR","DL","DR","HoS","DL"
"CbMPDiCbraya","Management","Pre","DominantProcessImportance","0.779514842665469","0.926885336177588","0.391732216224184","0.69785477204633","0.783878265373434","0.565880028093528","0.610287283505487","0.446071116379216","0.706764881220542","0.436118138713623","0.690704785107297","0.463012297969542","0.821487753798193","0.71586201338512","0.867092173876276","0.704202959523393","0.649184113302799","0.489922583438635","0.905354156397943","0.715931904231727","0.617504222375711","0.903612359738206","0.767562307752476","0.76446024269049","0.754576443689869","0.508281663175462","0.824723238131397","0.954483642805748","0.589269313073354","0.597338797047168","0.655169964505663","0.853585921667205","0.839957013722979","0.945265630331714","0.661415143436659","0.720380417612461","0.790318728483117","0.944761124919566","0.622742356960516","0.51520059322208","0.988722500567609","0.988572905255679","0.630642272538425","0.538495881819849","0.501398040846167","0.574463190647956","0.836540149690137","0.770920580726301","0.855212620436586","0.737543649347987","0.904529448840658","0.694757173955705","0.778159869852381","0.632098628208021","0.943129715039389","0.517309874168609","0.54889484938467","0.712845984371399","0.405836890015789","0.91922512057005","0.9129724200767","0.783546367090629","0.991444079333077","0.557523605635538","0.73519992173607","0.977833343771897","0.798526764446542","0.473469375952278","0.759605111953673","0.864787209550483","0.938685308233988","0.887284339908501","0.675779950890506","0.91575071880306","0.630608848480708","0.717766819721837","0.568776715681965","0.547292780654323"
"CbMPDiCbraya","Management","Pre","DominantProcessPvalue","0.01","0","0.6","0.02","0.06","0.25","0.11","0.31","0.21","0.32","0.03","0.56","0.02","0.02","0","0.09","0.08","0.44","0","0.18","0.29","0","0","0.07","0","0.43","0.07","0","0.12","0.08","0.1","0","0.02","0","0.13","0.05","0","0","0.39","0.35","0","0","0.4","0.25","0.53","0.24","0.06","0.03","0","0.03","0.34","0.06","0","0.12","0","0.2","0.36","0.03","0.37","0.03","0","0.01","0","0.28","0.09","0","0.12","0.37","0.04","0","0","0.06","0.04","0","0.3","0.06","0.19","0.37"
"CbMPDiCbraya","Management","In","HeS","0","0","0.0339571414105541","0","0","0","0.106904417220307","0","0","0","0.058367741963471","0","0.11391724303627","0.016959180138354","0","0","0.126124799114263","0","0","0.0349052390885177","0","0","0","0","0","0","0","0","0","0","0","0.534019466309286","0","0","0","0.0335240164722095","0","0","0","0","0","0","0","0.304813110283763","0","0","0","0.0168561054841025","0","0.123333350509134","0.0115430276164232","0","0.00786803320124784","0","0","0","0","0","0","0","0","0","0.00223355167622456","0.0343471371111003","0","0.000740041235323323","0","0","0","0","0.0946040646848596","0.035132112276325","0","0","0","0.00391317317620447","0","0.029217221083372"
"CbMPDiCbraya","Management","In","HoS","0.159438827612771","0","0.211274445553759","0.0710013340076965","0.0283606889419602","0.00246236965562457","0.040918748240954","0","0","0.00508480450045355","0.0533246165795495","0.0352494350724408","0.108169018419138","0.228125992812871","0.00196910988934195","0.0355154038578916","0.3092556874714","0.00319548662311414","0","0","0.446070073016594","0.0113290645188071","0.0245199412077653","0","0","0.0035438854898245","0","0.162604095301019","0.00135900330217845","0.133490030396487","0.556599078311816","0.02962478232988","0.108686997346034","0.0947911890267911","0.286667940469935","0.0632903332578479","0.377358272900523","0","0.174971424900001","0.778333824100866","0.391803438520723","0.151732535946494","0.168049709583466","0","0.448181502218237","0.864022060065095","0.0263135965247184","0.0493323063581234","0.0080730890579282","0.244522051070831","0.285361580926285","0.379745648964007","0.00909351941437762","0.106498033376084","0.0776287294588499","0.102124570329804","1","0.0816247258244447","0.0650473760979361","0","0.0223601345254087","0.00722654262473157","0.797417376799872","0.0741164053441274","0","0.0122738539715817","0.169082608850463","0.405326403185171","0.00512291556684445","0.0964639557990665","0.483918913111641","0.046283734406221","0","0","0","0.0357813593166387","0.179233313560317","0.127564381138706"
