"Bin","BinRA","TopTaxonID","TopTaxonRAinBin","TopTaxon.Domain","TopTaxon.Kingdom","TopTaxon.Phylum","TopTaxon.Class","TopTaxon.Order","TopTaxon.Family","TopTaxon.Genus","TopTaxon.Species","Domain.maxNamed","Domain.maxNamed.Percent","Kingdom.maxNamed","Kingdom.maxNamed.Percent","Phylum.maxNamed","Phylum.maxNamed.Percent","Class.maxNamed","Class.maxNamed.Percent","Order.maxNamed","Order.maxNamed.Percent","Family.maxNamed","Family.maxNamed.Percent","Genus.maxNamed","Genus.maxNamed.Percent","Species.maxNamed","Species.maxNamed.Percent"
"Bin1",0.00311255790885172,"OTU4014",0.610008564973265,"Eukaryota","Amoebozoa","Gracilipodida","norank_p__Gracilipodida","norank_p__Gracilipodida","norank_p__Gracilipodida","norank_p__Gracilipodida","Flamella_pleistocenica","Eukaryota",1,"Amoebozoa",0.733771221470792,"Gracilipodida",0.659059414833645,"norank_p__Gracilipodida",0.659059414833645,"norank_p__Gracilipodida",0.659059414833645,"norank_p__Gracilipodida",0.659059414833645,"norank_p__Gracilipodida",0.610008564973266,"Flamella_pleistocenica",0.610008564973266
"Bin2",0.0287533488769842,"OTU2430",0.571254702698393,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","Eukaryota",1,"norank_d__Eukaryota",0.787250749946178,"SAR_d__Eukaryota",0.786268829384269,"norank_p__SAR_d__Eukaryota",0.202969805793265,"norank_p__SAR_d__Eukaryota",0.202969805793265,"norank_p__SAR_d__Eukaryota",0.202969805793265,"norank_p__SAR_d__Eukaryota",0.202969805793265,"uncultured_marine_picoeukaryote_p__SAR_d__Eukaryota",0.202911010844867
"Bin3",0.00127062988567744,"OTU3908",0.279309415381509,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","Eukaryota",1,"norank_d__Eukaryota",0.620479218596954,"SAR_d__Eukaryota",0.618938198604124,"Rhabditophora",0.270616811326621,"Macrostomida",0.270616811326621,"norank_o__Macrostomida",0.270616811326621,"norank_o__Macrostomida",0.270616811326621,"metagenome_g__Vannella",0.00927136432405871
"Bin4",0.00127679878734809,"OTU774",0.250720052504748,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","Eukaryota",1,"Cryptophyceae",0.28870712755951,"norank_k__Cryptophyceae",0.28870712755951,"norank_k__Cryptophyceae",0.28870712755951,"norank_k__Cryptophyceae",0.281473293614767,"norank_k__Cryptophyceae",0.281473293614767,"Goniomonas",0.281473293614767,"Goniomonas_truncata",0.239672771385738
"Bin5",0.00322813257628049,"OTU951",0.315573952924288,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","Eukaryota",1,"norank_d__Eukaryota",0.523880863313406,"SAR_d__Eukaryota",0.523880863313406,"norank_p__SAR_d__Eukaryota",0.245553147092896,"norank_p__SAR_d__Eukaryota",0.245553147092896,"norank_p__SAR_d__Eukaryota",0.245553147092896,"norank_c__Novel_Clade_10",0.226574852663084,"uncultured_freshwater_eukaryote_g__Bolidomonas",0.216428618498256
"Bin6",0.0007489177306172,"OTU3859",0.383453220935472,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Litostomatea","Mesodiniidae","norank_f__Mesodiniidae","unclassified_g__norank_f__Mesodiniidae","Eukaryota",1,"norank_d__Eukaryota",0.450402303070042,"SAR_d__Eukaryota",0.400189592048749,"Intramacronucleata",0.400189592048749,"Litostomatea",0.400189592048749,"Mesodiniidae",0.400189592048749,"norank_f__Mesodiniidae",0.400189592048749,"Paratrimastix_pyriformis_ATCC50562",0.0284175103566129
"Bin7",0.00388970521518305,"OTU3888",0.289352650171171,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","Eukaryota",1,"norank_d__Eukaryota",0.987630991322535,"SAR_d__Eukaryota",0.987630991322535,"Chrysophyceae",0.381846084076194,"norank_c__Chrysophyceae",0.0838948109709302,"norank_c__Chrysophyceae",0.0838948109709302,"norank_c__Chrysophyceae",0.0838948109709302,"uncultured_marine_picoeukaryote_c__Chrysophyceae",0.0836032732894244
"Bin8",0.0709131271871865,"OTU797",0.375153520426017,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Chrysophyceae","Ochromonadales","norank_o__Ochromonadales","Dinobryon","unclassified_g__Dinobryon","Eukaryota",1,"norank_d__Eukaryota",0.999934330492833,"SAR_d__Eukaryota",0.999917874620099,"Chrysophyceae",0.939308000207835,"Ochromonadales",0.502605320014615,"norank_o__Ochromonadales",0.502605320014615,"Dinobryon",0.375891856420705,"Spumella-like_flagellate_JBC07",0.133298601945554
"Bin9",0.00516345626300815,"OTU3904",0.472534982425446,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","norank_p__SAR_d__Eukaryota","Hyphochytriales","norank_o__Hyphochytriales","norank_o__Hyphochytriales","unclassified_g__norank_o__Hyphochytriales","Eukaryota",1,"norank_d__Eukaryota",0.995226221155213,"SAR_d__Eukaryota",0.995226221155213,"norank_p__SAR_d__Eukaryota",0.496669162410703,"Hyphochytriales",0.494528176936703,"norank_o__Hyphochytriales",0.494528176936703,"norank_o__Hyphochytriales",0.475272487714716,"Vischeria_helvetica",0.0107584204293712
"Bin10",0.00582028187707464,"OTU3866",0.516541605414226,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","Eukaryota",1,"norank_d__Eukaryota",0.997473229483818,"SAR_d__Eukaryota",0.997473229483818,"norank_p__SAR_d__Eukaryota",0.465904823735889,"norank_p__SAR_d__Eukaryota",0.465904823735889,"norank_p__SAR_d__Eukaryota",0.465904823735889,"Haptoglossa",0.17774531725343,"Haptoglossa_sp._SL20",0.177545421283959
"Bin11",0.00191992821625857,"OTU2017",0.198598450120244,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Conoidasida","Gregarinasina","unclassified_o__Gregarinasina","unclassified_o__Gregarinasina","unclassified_o__Gregarinasina","Eukaryota",1,"norank_d__Eukaryota",0.991934720952801,"SAR_d__Eukaryota",0.991934720952801,"Conoidasida",0.983045106160234,"Gregarinasina",0.978799395575195,"Neogregarinorida",0.455748183043251,"Mattesia",0.31816018824951,"Mattesia_sp._SV-2003",0.187913734451021
"Bin12",0.00302617495516556,"OTU752",0.243422029505762,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Conoidasida","Gregarinasina","Eugregarinorida","unclassified_f__Eugregarinorida","unclassified_f__Eugregarinorida","Eukaryota",1,"norank_d__Eukaryota",0.998602252494239,"SAR_d__Eukaryota",0.995844154393128,"Conoidasida",0.994100374082549,"Gregarinasina",0.994100374082549,"Eugregarinorida",0.994100374082549,"norank_f__Eugregarinorida",0.243604241729111,"Syncystis_mirabilis",0.0553275942370295
"Bin13",0.00200207970997989,"OTU3170",0.313368975654719,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Conoidasida","Gregarinasina","Eugregarinorida","norank_f__Eugregarinorida","uncultured_alveolate_f__Eugregarinorida","Eukaryota",1,"norank_d__Eukaryota",1,"SAR_d__Eukaryota",1,"Conoidasida",1,"Gregarinasina",1,"Eugregarinorida",1,"norank_f__Eugregarinorida",0.540374322862039,"uncultured_alveolate_f__Eugregarinorida",0.331844594297652
"Bin14",0.00116929186824839,"OTU757",0.182142514124173,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Conoidasida","Gregarinasina","Eugregarinorida","Gregarina","Heterocapsaceae_environmental_sample","Eukaryota",1,"norank_d__Eukaryota",0.9471437509478,"SAR_d__Eukaryota",0.946287182528149,"Conoidasida",0.936114831707795,"Gregarinasina",0.936114831707795,"Eugregarinorida",0.936114831707795,"Gregarina",0.505561644681458,"Heterocapsaceae_environmental_sample",0.453241174023235
"Bin15",0.0265872561064405,"OTU785",0.448742207342144,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Spirotrichea","Choreotrichia","Tintinnidium","unclassified_g__Tintinnidium","Eukaryota",1,"norank_d__Eukaryota",0.999829421186515,"SAR_d__Eukaryota",0.999785972954688,"Intramacronucleata",0.999565922319371,"Spirotrichea",0.589493975962963,"Choreotrichia",0.455863145855142,"Tintinnidium",0.451254589710511,"metagenome_g__Strombidium",0.0840312577248736
"Bin16",0.0228977868773542,"OTU699",0.476328090775696,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Spirotrichea","Choreotrichia","unclassified_f__Choreotrichia","unclassified_f__Choreotrichia","Eukaryota",1,"norank_d__Eukaryota",1,"SAR_d__Eukaryota",1,"Intramacronucleata",0.999818105642075,"Spirotrichea",0.999492340923063,"Choreotrichia",0.995662159737428,"norank_f__Choreotrichia",0.519334068961732,"uncultured_eukaryote_f__Choreotrichia",0.232085210848481
"Bin17",0.00810837789499057,"OTU742",0.665831716193956,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Spirotrichea","Hypotrichia","Halteria","uncultured_alveolate_g__Halteria","Eukaryota",1,"norank_d__Eukaryota",0.999824276785082,"SAR_d__Eukaryota",0.999824276785082,"Intramacronucleata",0.999824276785082,"Spirotrichea",0.999824276785082,"Hypotrichia",0.999824276785082,"Halteria",0.829082726269086,"uncultured_alveolate_g__Halteria",0.813572519948218
"Bin18",0.00398990750347872,"OTU401",0.349404061214005,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Conthreep","Oligohymenophorea","Stokesia","Stokesia_vernalis","Eukaryota",1,"norank_d__Eukaryota",0.998800161826533,"SAR_d__Eukaryota",0.990478318172444,"Intramacronucleata",0.981251880187978,"Conthreep",0.502976723081915,"Oligohymenophorea",0.432742415567653,"Stokesia",0.357580699957559,"Stokesia_vernalis",0.350795980763413
"Bin19",0.00422780498493285,"OTU586",0.303964140044931,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","Eukaryota",1,"norank_d__Eukaryota",0.999067033400129,"SAR_d__Eukaryota",0.999067033400129,"Intramacronucleata",0.577028957540282,"Conthreep",0.577028957540282,"Prostomatea",0.444600336014233,"Cryptocaryon",0.34456627163209,"metagenome_g__Cryptocaryon",0.171418098485795
"Bin20",0.000643057196852377,"OTU594",0.321315937166734,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Conthreep","Phyllopharyngea","Chilodonella","Chilodonella_uncinata","Eukaryota",1,"norank_d__Eukaryota",0.942861791095084,"SAR_d__Eukaryota",0.939252532355466,"Intramacronucleata",0.588922128658905,"Conthreep",0.567008589773556,"Phyllopharyngea",0.360359309038349,"Chilodonella",0.321315937166734,"Chilodonella_uncinata",0.321315937166734
"Bin21",0.0262140225063207,"OTU779",0.286248333101844,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Dinophyceae","Peridiniales","norank_o__Peridiniales","Peridiniopsis","Unruhdinium_jiulongense","Eukaryota",1,"norank_d__Eukaryota",0.99889039385116,"SAR_d__Eukaryota",0.998737969600785,"Dinophyceae",0.967479654979603,"Peridiniales",0.287202786842547,"norank_o__Peridiniales",0.287202786842547,"Peridiniopsis",0.287202786842547,"Unruhdinium_jiulongense",0.286248333101844
