"ID","Bin","TaxonRelativeAbundance","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU1","Bin30",1.63057719828454e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","MAST-12C","norank_c__MAST-12C","norank_c__MAST-12C","norank_c__MAST-12C","unclassified_g__norank_c__MAST-12C"
"OTU2","Bin24",1.48963807753268e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU3","Bin70",6.95948661793445e-05,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Thecofilosea","unclassified_c__Thecofilosea","unclassified_c__Thecofilosea","unclassified_c__Thecofilosea","unclassified_c__Thecofilosea"
"OTU4","Bin26",9.93092051688455e-07,"Eukaryota","Amoebozoa","norank_k__Amoebozoa","Tubulinea","norank_c__Tubulinea","norank_c__Tubulinea","norank_c__Tubulinea","Copromyxa_microcystidis"
"OTU5","Bin22",1.48963807753268e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU6","Bin29",6.15226663882613e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU7","Bin30",1.65884264553798e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU8","Bin4",2.62727897435775e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU9","Bin20",2.62727897435775e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Conthreep","Phyllopharyngea","unclassified_f__Phyllopharyngea","unclassified_f__Phyllopharyngea"
"OTU10","Bin62",1.48963807753268e-06,"Eukaryota","Fungi","Microsporidia","norank_p__Microsporidia","norank_p__Microsporidia","norank_p__Microsporidia","norank_p__Microsporidia","unclassified_g__norank_p__Microsporidia"
"OTU11","Bin59",4.55616803338128e-06,"Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Wickerhamomyces","Candida_solani_g__Wickerhamomyces"
"OTU12","Bin27",3.05480460588705e-05,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Bacillariophyceae","norank_c__Bacillariophyceae","norank_c__Bacillariophyceae","unclassified_f__norank_c__Bacillariophyceae","unclassified_f__norank_c__Bacillariophyceae"
"OTU13","Bin8",1.92137625732215e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Chrysophyceae","unclassified_c__Chrysophyceae","unclassified_c__Chrysophyceae","unclassified_c__Chrysophyceae","unclassified_c__Chrysophyceae"
"OTU14","Bin65",3.89863954316516e-06,"Eukaryota","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Udeniomyces","unclassified_g__Udeniomyces"
"OTU15","Bin35",9.93092051688455e-07,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU16","Bin1",9.93092051688455e-07,"Eukaryota","norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota"
