"","taxon.name"
"1","OTU1592"
"2","OTU1759"
"3","OTU2076"
"4","OTU2199"
"5","OTU1798"
"6","OTU3223"
"7","OTU2133"
"8","OTU3984"
"9","OTU1437"
"10","OTU1692"
"11","OTU3326"
"12","OTU3885"
"13","OTU2186"
"14","OTU2810"
"15","OTU2438"
"16","OTU854"
"17","OTU2627"
"18","OTU3905"
"19","OTU1804"
"20","OTU1672"
"21","OTU2088"
"22","OTU1670"
"23","OTU1568"
"24","OTU1276"
"25","OTU2485"
"26","OTU1382"
"27","OTU3123"
"28","OTU4004"
"29","OTU3618"
"30","OTU3684"
"31","OTU2442"
"32","OTU2094"
"33","OTU872"
"34","OTU1484"
"35","OTU3690"
"36","OTU728"
"37","OTU3089"
"38","OTU2821"
"39","OTU3153"
"40","OTU2973"
"41","OTU1886"
"42","OTU4054"
"43","OTU918"
"44","OTU3860"
"45","OTU2766"
"46","OTU342"
"47","OTU424"
"48","OTU3010"
"49","OTU1464"
"50","OTU1481"
"51","OTU275"
"52","OTU1454"
"53","OTU1442"
"54","OTU326"
"55","OTU2528"
"56","OTU2170"
"57","OTU574"
"58","OTU3467"
"59","OTU1930"
"60","OTU2153"
"61","OTU601"
"62","OTU2503"
"63","OTU4143"
"64","OTU93"
"65","OTU1855"
"66","OTU2327"
"67","OTU3835"
"68","OTU2977"
"69","OTU1402"
"70","OTU3260"
"71","OTU704"
"72","OTU2715"
"73","OTU1421"
"74","OTU1559"
"75","OTU1239"
"76","OTU2101"
"77","OTU4135"
"78","OTU3070"
"79","OTU2749"
"80","OTU74"
"81","OTU568"
"82","OTU886"
"83","OTU959"
"84","OTU817"
"85","OTU3158"
"86","OTU436"
"87","OTU2718"
"88","OTU940"
"89","OTU55"
"90","OTU3732"
"91","OTU935"
"92","OTU1730"
"93","OTU3900"
"94","OTU1393"
"95","OTU1687"
"96","OTU2717"
"97","OTU576"
"98","OTU749"
"99","OTU421"
"100","OTU3511"
"101","OTU1870"
"102","OTU3282"
"103","OTU4094"
"104","OTU66"
"105","OTU1493"
"106","OTU1908"
"107","OTU747"
"108","OTU2146"
"109","OTU2315"
"110","OTU1894"
"111","OTU1877"
"112","OTU1988"
"113","OTU2234"
"114","OTU2593"
"115","OTU147"
"116","OTU1607"
"117","OTU1671"
"118","OTU1816"
"119","OTU3901"
"120","OTU3969"
"121","OTU2656"
"122","OTU3174"
"123","OTU1914"
"124","OTU4145"
"125","OTU2008"
"126","OTU1655"
"127","OTU1805"
"128","OTU3027"
"129","OTU2474"
"130","OTU2045"
"131","OTU1472"
"132","OTU1635"
"133","OTU1352"
"134","OTU1415"
"135","OTU1823"
"136","OTU1879"
"137","OTU2399"
"138","OTU970"
"139","OTU3677"
"140","OTU3030"
"141","OTU3160"
"142","OTU2845"
"143","OTU1707"
"144","OTU3882"
"145","OTU3044"
"146","OTU1127"
"147","OTU1696"
"148","OTU993"
"149","OTU350"
"150","OTU3983"
"151","OTU4021"
"152","OTU2859"
"153","OTU763"
"154","OTU3656"
"155","OTU3119"
"156","OTU2144"
"157","OTU1251"
"158","OTU3770"
"159","OTU552"
"160","OTU2424"
"161","OTU2956"
"162","OTU961"
"163","OTU857"
"164","OTU3520"
"165","OTU1456"
"166","OTU2030"
"167","OTU3718"
"168","OTU3632"
"169","OTU3841"
"170","OTU2064"
"171","OTU1926"
"172","OTU531"
"173","OTU243"
"174","OTU1234"
"175","OTU1917"
"176","OTU1888"
"177","OTU408"
"178","OTU2653"
"179","OTU2621"
"180","OTU2910"
"181","OTU1827"
"182","OTU166"
"183","OTU2336"
"184","OTU3132"
"185","OTU1440"
"186","OTU3421"
"187","OTU4026"
"188","OTU1685"
"189","OTU1477"
"190","OTU3982"
"191","OTU3670"
"192","OTU3998"
"193","OTU3138"
"194","OTU3318"
"195","OTU646"
"196","OTU438"
"197","OTU3868"
"198","OTU1091"
"199","OTU998"
"200","OTU1585"
"201","OTU1479"
"202","OTU1884"
"203","OTU2245"
"204","OTU197"
"205","OTU333"
"206","OTU3756"
"207","OTU2384"
"208","OTU1652"
"209","OTU2616"
"210","OTU1630"
"211","OTU2716"
"212","OTU2010"
"213","OTU3254"
"214","OTU3590"
"215","OTU2295"
"216","OTU2994"
"217","OTU3127"
"218","OTU2526"
"219","OTU1372"
"220","OTU1374"
"221","OTU3521"
"222","OTU1675"
"223","OTU1062"
"224","OTU2130"
"225","OTU3159"
"226","OTU1621"
"227","OTU1998"
"228","OTU1854"
"229","OTU1837"
"230","OTU2658"
"231","OTU2711"
"232","OTU2052"
"233","OTU1475"
"234","OTU1623"
"235","OTU2068"
"236","OTU1905"
"237","OTU1433"
"238","OTU2731"
"239","OTU2691"
"240","OTU1401"
"241","OTU1782"
"242","OTU1897"
"243","OTU2643"
"244","OTU3513"
"245","OTU2877"
"246","OTU1314"
"247","OTU1819"
"248","OTU472"
"249","OTU1606"
"250","OTU2367"
"251","OTU942"
"252","OTU2455"
"253","OTU2789"
"254","OTU4098"
"255","OTU1375"
"256","OTU2762"
"257","OTU1838"
"258","OTU2682"
"259","OTU1736"
"260","OTU3321"
"261","OTU2773"
"262","OTU3832"
"263","OTU705"
"264","OTU2587"
"265","OTU1749"
"266","OTU2496"
"267","OTU3892"
"268","OTU2888"
"269","OTU3155"
"270","OTU1435"
"271","OTU2733"
"272","OTU2476"
"273","OTU1721"
"274","OTU2011"
"275","OTU1582"
"276","OTU308"
"277","OTU3019"
"278","OTU2018"
"279","OTU2747"
"280","OTU213"
"281","OTU1357"
"282","OTU1599"
"283","OTU2126"
"284","OTU1922"
"285","OTU1498"
"286","OTU2021"
"287","OTU2159"
"288","OTU1690"
"289","OTU1910"
"290","OTU2640"
"291","OTU976"
"292","OTU1890"
"293","OTU2819"
"294","OTU1541"
"295","OTU2620"
"296","OTU1633"
"297","OTU2065"
"298","OTU338"
"299","OTU1274"
"300","OTU1739"
"301","OTU1490"
"302","OTU1051"
"303","OTU3096"
"304","OTU1378"
"305","OTU2063"
"306","OTU1608"
"307","OTU1718"
"308","OTU1684"
"309","OTU3111"
"310","OTU1818"
"311","OTU1900"
"312","OTU1775"
"313","OTU1495"
"314","OTU1406"
"315","OTU3839"
"316","OTU1520"
"317","OTU1533"
"318","OTU1556"
"319","OTU1706"
"320","OTU2848"
"321","OTU1584"
"322","OTU1982"
"323","OTU70"
"324","OTU1885"
"325","OTU3265"
"326","OTU3672"
"327","OTU159"
"328","OTU4023"
"329","OTU1808"
"330","OTU1901"
"331","OTU402"
"332","OTU366"
"333","OTU2518"
"334","OTU1492"
"335","OTU1566"
"336","OTU1987"
"337","OTU1834"
"338","OTU2173"
"339","OTU1587"
"340","OTU2826"
"341","OTU1751"
"342","OTU2673"
"343","OTU3218"
"344","OTU2002"
"345","OTU2626"
"346","OTU1954"
"347","OTU4119"
"348","OTU2713"
"349","OTU2723"
"350","OTU3241"
"351","OTU1737"
"352","OTU1508"
"353","OTU2659"
"354","OTU2097"
"355","OTU2044"
"356","OTU1713"
"357","OTU1578"
"358","OTU2510"
"359","OTU2383"
"360","OTU3622"
"361","OTU3240"
"362","OTU1807"
"363","OTU1237"
"364","OTU2974"
"365","OTU3274"
"366","OTU1011"
