OTU ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	MAST-12C	norank_c__MAST-12C	norank_c__MAST-12C	norank_c__MAST-12C	unclassified_g__norank_c__MAST-12C
OTU2	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU3	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Thecofilosea	unclassified_c__Thecofilosea	unclassified_c__Thecofilosea	unclassified_c__Thecofilosea	unclassified_c__Thecofilosea
OTU4	Eukaryota	Amoebozoa	norank_k__Amoebozoa	Tubulinea	norank_c__Tubulinea	norank_c__Tubulinea	norank_c__Tubulinea	Copromyxa_microcystidis
OTU5	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU6	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU7	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU8	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU9	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Conthreep	Phyllopharyngea	unclassified_f__Phyllopharyngea	unclassified_f__Phyllopharyngea
OTU10	Eukaryota	Fungi	Microsporidia	norank_p__Microsporidia	norank_p__Microsporidia	norank_p__Microsporidia	norank_p__Microsporidia	unclassified_g__norank_p__Microsporidia
