"bin","HeS","HoS","DL","HD","DR"
"Bin39",0,0.109801295801018,0,0.00536076388443913,0.884837940314543
"Bin40",0.0587092417617945,0.304651564394944,0.257048415417076,0.00850839168936026,0.371082386736826
"Bin41",0,0.0218915495517404,0,0.0124098631066266,0.965698587341633
"Bin42",0.0114524108230272,0,0.0254963957781635,0,0.963051193398809
"Bin43",0.0070392893919389,0.189735753182115,0.226342748900601,0.00842981801160009,0.568452390513745
"Bin56",0,0.282051163087669,0.593089624427105,0,0.124859212485226
"Bin54",0,0.00772417627081329,0.717785561048534,0,0.274490262680652
"Bin55",0.0404320644922812,0.0965112951027321,0.785370358904121,0,0.0776862815008661
"Bin57",0.0159613993484642,0.26971293943579,0.286316589703539,0.00288191239394303,0.425127159118264
"Bin65",0,0.751757914903508,0.0758613487238715,0.0137975904486203,0.158583145924
"Bin66",0,0.28602674606188,0.423889862521743,0,0.290083391416377
"Bin67",0,0.331222596565285,0.579295722599475,0.00420370451488558,0.0852779763203545
"Bin4",0.0341009888971617,0.0045699453443278,0.739429997419104,0.00796602981537383,0.213933038524033
"Bin7",0,0.00709537073215791,0,0.988819746826729,0.00408488244111335
"Bin8",0,0.0138167784507399,0.709849792525911,0.0665082710478614,0.209825157975488
"Bin9",0,0,0.798470763078414,0,0.201529236921586
"Bin10",0,0.155791163261818,0.585989958262813,0.00263301417113702,0.255585864304232
"Bin11",0.00602491553751219,0.441069939272947,0.533859420862455,0,0.0190457243270851
"Bin13",0.14591866002858,0.149470432666345,0.690758972524117,0,0.0138519347809585
"Bin12",0,0,0.930190138253209,0,0.0698098617467911
"Bin14",0.0062733188367233,0.0619515264208189,0.90626797231291,0,0.0255071824295474
"Bin15",0,0,0,0.195875244448564,0.804124755551436
"Bin16",0.149837247331631,0.204194912818981,0,0.645967839849388,0
"Bin17",0.0220004997067611,0.702557654806754,0.0660201002650099,0.00910507551647857,0.200316669704997
"Bin18",0,0.163669968606015,0,0.178076607325975,0.65825342406801
"Bin19",0,0,0.729641602243928,0.0190477181916181,0.251310679564454
"Bin20",0.0750905732250994,0.200921522019835,0,0.247659146507373,0.476328758247692
