DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,IN_multibar
COLOR,#ff0000
FIELD_LABELS,HeS2,HoS2,DL2,HD2,DR2
FIELD_COLORS,#a6cee3,#1f78b4,#b2df8a,#33a02c,#fb9a99
SHOW_INTERNAL,0
MARGIN,145
ALIGN_FIELDS,0
DATASET_SCALE,100,300,500,700
WIDTH,100
HEIGHT_FACTOR,1
BAR_SHIFT,0
DATA
Bin39,0,0.174971424900001,0,0.371448680338822,0.453579894761176
Bin40,0,0.778333824100866,0.100174707311799,0,0.121491468587335
Bin41,0,0.391803438520723,0.53394624161349,0,0.0742503198657869
Bin42,0,0.151732535946494,0.663126667044924,0.00219921543608918,0.182941581572493
Bin43,0,0.168049709583466,0.160110236967976,0.00228683997585817,0.669553213472701
Bin56,0,0.102124570329804,0,0.25314951720035,0.644725912469846
Bin54,0,0.106498033376084,0,0.0220745420681073,0.871427424555808
Bin55,0,0.0776287294588499,0.107336006697214,0.00806347166249615,0.80697179218144
Bin57,0,1,0,0,0
Bin65,0,0,0.825764787667562,0.0141812533334097,0.160053958999028
Bin66,0.000740041,0.0122738539715817,0.927725556922129,0.0286126224546732,0.0306479254162923
Bin67,0,0.169082608850463,0.535954445530029,0.0321882295609082,0.2627747160586
Bin4,0,0.0710013340076965,0.311421438959076,0.00906365990372403,0.608513567129503
Bin7,0.106904417,0.040918748240954,0.354127883516893,0.00366706771281369,0.494381883309032
Bin8,0,0,0.696448831122446,0.0137048439196256,0.289846324957928
Bin9,0,0,0,0.168207437993721,0.831792562006279
Bin10,0,0.00508480450045355,0.448313481550594,0.0137943367288866,0.532807377220066
Bin11,0.058367742,0.0533246165795495,0,0.0853548551621832,0.802952786294796
Bin13,0.113917243,0.108169018419138,0,0,0.777913738544592
Bin12,0,0.0352494350724408,0,0.428064103974287,0.536686460953272
Bin14,0.01695918,0.228125992812871,0,0.031345285793586,0.723569541255189
Bin15,0,0.00196910988934195,0.961406717263739,0.00260341576659007,0.0340207570803285
Bin16,0,0.0355154038578916,0.320475453469993,0.000688700579634991,0.643320442092481
Bin17,0.126124799,0.3092556874714,0.532256000925315,0.00227397366891006,0.0300895388201124
Bin18,0,0.00319548662311414,0.901617485120731,0.000300697867430271,0.0948863303887247
Bin19,0,0,0.84005188888767,0.00264891141711669,0.157299199695213
Bin20,0.034905239,0,0.723406480046821,0,0.241688280864662
Bin21,0,0.446070073016594,0.0357530537658995,0.0682693625098554,0.449907510707651
Bin22,0,0.0113290645188071,0,0.0253396535667178,0.963331281914475
Bin23,0,0.0245199412077653,0.787386182455459,0.0205046474891084,0.167589228847668
Bin25,0,0,0,0,1
Bin24,0,0,0,0.188434413951862,0.811565586048138
Bin26,0,0.0035438854898245,0.694999543532367,0,0.301456570977808
Bin27,0,0,0,0.0825901302549607,0.917409869745039
Bin28,0,0.162604095301019,0.109188911442466,0.000265413293376874,0.727941579963138
Bin29,0,0.00135900330217845,0,0.00776186487560388,0.990879131822218
Bin30,0,0.133490030396487,0,0.0250529407188439,0.841457028884669
Bin1,0,0.159438827612771,0.784507391287251,0,0.0560537810999772
Bin2,0,0,0.238014473876987,0.00750545103595906,0.754480075087054
Bin3,0.0339571414105541,0.211274445553759,0.231310832085518,0.00530294496234683,0.518154635987822
Bin5,0,0.0283606889419602,0.557222722865515,0,0.414416588192524
Bin6,0,0.00246236965562457,0.886089117583495,0,0.111448512760881
Bin32,0.534019466309286,0.02962478232988,0.20378564668456,0.0361716626896257,0.196398441986648
Bin31,0,0.556599078311816,0,0,0.443400921688184
Bin33,0,0.108686997346034,0,0.151502394416585,0.739810608237382
Bin34,0,0.0947911890267911,0.720583490847369,0.00669868292109156,0.177926637204748
Bin35,0,0.286667940469935,0.151058661208067,0.00304323276857871,0.559230165553419
Bin36,0.0335240164722095,0.0632903332578479,0,0.0110861430128379,0.892099507257105
Bin37,0,0.377358272900523,0.515068474906813,0,0.107573252192665
Bin38,0,0,0,0.0287408427614919,0.971259157238508
Bin71,0.0946040646848596,0.483918913111641,0.0853716263947806,0.030666561898467,0.305438833910252
Bin72,0.035132112276325,0.046283734406221,0.403373192582037,0.000280757542126377,0.51493020319329
Bin73,0,0,0.754308022198393,0.0494809461196684,0.196211031681938
Bin74,0,0,0.298327421351872,0.00527725097336367,0.696395327674765
Bin75,0,0,0,0.047192490010437,0.952807509989563
Bin76,0.00391317317620447,0.0357813593166387,0.801326392280017,0.00471836842770805,0.154260706799432
Bin77,0,0.179233313560317,0,0,0.820766686439683
Bin78,0.029217221083372,0.127564381138706,0.58996235997037,0.00297662877835646,0.250279409029195
Bin68,0,0.405326403185171,0,0.0115981939894145,0.583075402825414
Bin69,0,0.00512291556684445,0,0.0943847732062235,0.900492311226932
Bin70,0,0.0964639557990665,0.659422727481639,0.000710906773632991,0.243402409945661
Bin58,0,0.0816247258244447,0,0.00724102746503641,0.911134246710519
Bin59,0,0.0650473760979361,0.427615338985486,0.0155970501915278,0.49174023472505
Bin60,0,0,0,0,1
Bin61,0,0.0223601345254087,0,0,0.977639865474591
Bin63,0.00223355167622456,0.797417376799872,0.159506020555749,0.000118949955126315,0.0407241010130282
Bin64,0.0343471371111003,0.0741164053441274,0.438274869517475,0.0105263534929132,0.442735234534384
Bin62,0,0.00722654262473157,0,0.677473084883098,0.31530037249217
Bin49,0,0.0080730890579282,0,0.231565854675694,0.760361056266378
Bin50,0.123333350509134,0.244522051070831,0,0.00379652284157666,0.628348075578458
Bin51,0.0115430276164232,0.285361580926285,0,0.0743389189949186,0.628756472462373
Bin52,0,0.379745648964007,0,0.00359110866883438,0.616663242367159
Bin53,0.00786803320124784,0.00909351941437762,0.124930751827413,0.00655291035264798,0.851554785204314
Bin48,0.0168561054841025,0.0493323063581234,0,0.226553577454825,0.707258010702949
Bin44,0.304813110283763,0,0.384489824209873,0.0252477833515385,0.285449282154826
Bin45,0,0.448181502218237,0.334286536259971,0.0459193014962129,0.17161266002558
Bin46,0,0.864022060065095,0.108368926083275,0.00507667103051491,0.0225323428211146
Bin47,0,0.0263135965247184,0.817510815131563,0.00353765578794452,0.152637932555774
