DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,PRE_multibar
COLOR,#ff0000
FIELD_LABELS,HeS1,HoS1,DL1,HD1,DR1
FIELD_COLORS,#a6cee3,#1f78b4,#b2df8a,#33a02c,#fb9a99
SHOW_INTERNAL,0
MARGIN,15
ALIGN_FIELDS,0
DATASET_SCALE,100,300,500,700
WIDTH,100
HEIGHT_FACTOR,1
BAR_SHIFT,0
DATA
Bin39,0,0.622742357,0.348895238,0.003004751,0.025357654
Bin40,0,0.515200593,0.356891674,0.000273297,0.127634436
Bin41,0,0.005784683,0,0.005492816,0.988722501
Bin42,0,0.001722227,0,0.009704867,0.988572905
Bin43,0,0.256012362,0.630642273,0.004689512,0.108655853
Bin56,0.061530853,0.288234207,0,0.132925066,0.517309874
Bin54,0,0.297918667,0,0.069982704,0.632098628
Bin55,0,0.056870285,0,0,0.943129715
Bin57,0,0.082750394,0.548894849,0,0.368354757
Bin65,0,0,0,0.264800078,0.735199922
Bin66,0,0.022166656,0,0.977833344,0
Bin67,0,0,0,0.201473236,0.798526764
Bin4,0,0.15711554,0.145029688,0,0.697854772
Bin7,0,0,0.610287284,0,0.389712716
Bin8,0,0.424255615,0.446071116,0.009825247,0.119848022
Bin9,0,0,0,0.293235119,0.706764881
Bin10,0.253128343,0,0.436118139,0.000582927,0.310170591
Bin11,0.171000446,0.021001674,0,0.690704785,0.117293094
Bin13,0.148828416,0.02968383,0,0,0.821487754
Bin12,0.017068942,0.101513579,0,0.418405181,0.463012298
Bin14,0,0.23753144,0,0.046606546,0.715862013
Bin15,0.022566732,0,0,0.110341094,0.867092174
Bin16,0,0,0.70420296,0.008128904,0.287668136
Bin17,0,0.649184113,0.068415073,0.013095925,0.269304888
Bin18,0,0.077197991,0.489922583,0,0.432879426
Bin19,0,0,0.025612618,0.069033226,0.905354156
Bin20,0,0.003498348,0.715931904,0,0.280569747
Bin21,0,0,0,0.382495778,0.617504222
Bin22,0,0.092406299,0,0.003981341,0.90361236
Bin23,0,0.205758566,0,0.026679126,0.767562308
Bin25,0,0.075020762,0.754576444,0,0.170402795
Bin24,0,0,0,0.235539757,0.764460243
Bin26,0,0.024812322,0.508281663,0.000226753,0.466679261
Bin27,0,0.048953209,0.824723238,0.001002251,0.125321301
Bin28,0,0,0.038915415,0.006600942,0.954483643
Bin29,0,0.258483443,0.151213257,0.001033986,0.589269313
Bin30,0,0.211110383,0.597338797,0.016854965,0.174695855
Bin1,0,0.090127562,0.130357596,0,0.779514843
Bin2,0,0,0,0.073114664,0.926885336
Bin3,0.018538035,0.336485737,0.391732216,0,0.253244012
Bin5,0,0.039225868,0.783878265,0,0.176895867
Bin6,0,0.040997513,0.565880028,0,0.393122459
Bin32,0,0,0,0.146414078,0.853585922
Bin31,0,0.655169965,0,0.078082646,0.266747389
Bin33,0,0.012254486,0,0.147788501,0.839957014
Bin34,0,0,0.037678504,0.017055866,0.94526563
Bin35,0,0.661415143,0.057290145,0,0.281294712
Bin36,0.075129002,0.157112961,0.720380418,0,0.047377619
Bin37,0,0.790318728,0,0,0.209681272
Bin38,0,0,0.030328426,0.024910449,0.944761125
Bin71,0,0,0.061314692,0,0.938685308
Bin72,0.006349728,0,0.88728434,0.003950603,0.102415329
Bin73,0,0.675779951,0.092212928,0,0.232007121
Bin74,0,0,0,0.084249281,0.915750719
Bin75,0,0,0.630608848,0.017110208,0.352280943
Bin76,0,0,0.254748661,0.02748452,0.71776682
Bin77,0.14563936,0.568776716,0.254465024,0,0.031118901
Bin78,0,0.075067069,0.547292781,0.000947756,0.376692394
Bin68,0,0.426555182,0.473469376,0.005607198,0.094368245
Bin69,0,0.135683816,0.759605112,0.003459171,0.101251901
Bin70,0,0.023406226,0,0.111806565,0.86478721
Bin58,0.052166615,0.064458786,0.170528615,0,0.712845984
Bin59,0.05334618,0.349168745,0,0.191648185,0.40583689
Bin60,0,0,0,0.080774879,0.919225121
Bin61,0,0.053013577,0,0.034014003,0.91297242
Bin63,0.004964738,0,0,0.003591183,0.991444079
Bin64,0,0.324582673,0.557523606,0,0.117893722
Bin62,0.117781592,0.007050841,0,0.091621199,0.783546367
Bin49,0,0.113225499,0,0.03156188,0.85521262
Bin50,0,0.737543649,0.15876769,0,0.10368866
Bin51,0,0.000683928,0.904529449,0.002197386,0.092589238
Bin52,0,0.011751147,0.293491679,0,0.694757174
Bin53,0,0.089419461,0.09605924,0.036361429,0.77815987
Bin48,0,0,0.770920581,0.010178712,0.218900707
Bin44,0.045995389,0.326595072,0.538495882,0.033374447,0.055539209
Bin45,0,0.010543576,0,0.488058384,0.501398041
Bin46,0,0.325315572,0,0.100221237,0.574463191
Bin47,0,0.00043366,0.83654015,0.002818526,0.160207665
