DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,POST_multibar
COLOR,#ff0000
FIELD_LABELS,HeS3,HoS3,DL3,HD3,DR3
FIELD_COLORS,#a6cee3,#1f78b4,#b2df8a,#33a02c,#fb9a99
SHOW_INTERNAL,0
MARGIN,265
ALIGN_FIELDS,0
DATASET_SCALE,100,300,500,700
WIDTH,100
HEIGHT_FACTOR,1
BAR_SHIFT,0
DATA
Bin39,0,0.109801296,0,0.005360764,0.88483794
Bin40,0.058709242,0.304651564,0.257048415,0.008508392,0.371082387
Bin41,0,0.02189155,0,0.012409863,0.965698587
Bin42,0.011452411,0,0.025496396,0,0.963051193
Bin43,0.007039289,0.189735753,0.226342749,0.008429818,0.568452391
Bin56,0,0.282051163,0.593089624,0,0.124859212
Bin54,0,0.007724176,0.717785561,0,0.274490263
Bin55,0.040432064,0.096511295,0.785370359,0,0.077686282
Bin57,0.015961399,0.269712939,0.28631659,0.002881912,0.425127159
Bin65,0,0.751757915,0.075861349,0.01379759,0.158583146
Bin66,0,0.286026746,0.423889863,0,0.290083391
Bin67,0,0.331222597,0.579295723,0.004203705,0.085277976
Bin4,0.034100989,0.004569945,0.739429997,0.00796603,0.213933039
Bin7,0,0.007095371,0,0.988819747,0.004084882
Bin8,0,0.013816778,0.709849793,0.066508271,0.209825158
Bin9,0,0,0.798470763,0,0.201529237
Bin10,0,0.155791163,0.585989958,0.002633014,0.255585864
Bin11,0.006024916,0.441069939,0.533859421,0,0.019045724
Bin13,0.14591866,0.149470433,0.690758973,0,0.013851935
Bin12,0,0,0.930190138,0,0.069809862
Bin14,0.006273319,0.061951526,0.906267972,0,0.025507182
Bin15,0,0,0,0.195875244,0.804124756
Bin16,0.149837247,0.204194913,0,0.64596784,0
Bin17,0.0220005,0.702557655,0.0660201,0.009105076,0.20031667
Bin18,0,0.163669969,0,0.178076607,0.658253424
Bin19,0,0,0.729641602,0.019047718,0.25131068
Bin20,0.075090573,0.200921522,0,0.247659147,0.476328758
Bin21,0,0,0.82941919,0.006500575,0.164080236
Bin22,0,0.007878723,0.901390017,0,0.09073126
Bin23,0.049768332,0.131638126,0.793830125,0,0.024763417
Bin25,0.011411799,0.024166373,0.640400282,0.000353348,0.323668198
Bin24,0,0.151017504,0.730961454,0,0.118021042
Bin26,0,0,0.21136978,0.014295234,0.774334985
Bin27,0,0.251876385,0,0.288593409,0.459530206
Bin28,0,0.078200977,0,0.074321492,0.847477531
Bin29,0.000605649,0.098904381,0.868958589,0.007885181,0.0236462
Bin30,0,0.516245703,0.138986003,0.02669493,0.318073364
Bin1,0,0.156178597,0,0.016106771,0.827714632
Bin2,0.000752703,0.453170406,0.544629516,0.001447374,0
Bin3,0.072277197,0,0.723302233,0.018587445,0.185833126
Bin5,0.015119132,0.198159031,0,0.754126494,0.032595343
Bin6,0,0,0.421302585,0.001226065,0.577471351
Bin32,0,0.789975576,0.188380905,0,0.021643519
Bin31,0,0.094938171,0.634667483,0,0.270394346
Bin33,0,0,0.627106657,0,0.372893343
Bin34,0,0.149111155,0,0.084502448,0.766386396
Bin35,0.037677337,0.189348896,0,0.389274302,0.383699464
Bin36,0.031442594,0.00308044,0.658031622,0.000194835,0.307250509
Bin37,0,0.68473712,0.20306884,0.009920898,0.102273142
Bin38,0.162629932,5.49e-05,0.51002633,0.011896763,0.315392079
Bin71,0,0.076212746,0.687427688,0,0.236359566
Bin72,0.011465994,0.342660329,0.266879823,0.006819001,0.372174853
Bin73,0.000692205,0.143140023,0,0.482005445,0.374162327
Bin74,0,0.801217591,0.167787759,0.001330123,0.029664526
Bin75,0,0.00901735,0.844503889,0.000226503,0.146252258
Bin76,0,0.272325681,0.136840316,0.010171058,0.580662945
Bin77,0.079881524,0.003928983,0,0.032958596,0.883230897
Bin78,0,0,0.394210256,0.005647604,0.60014214
Bin68,0,0.567185076,0.270430677,0,0.162384247
Bin69,0.087367569,0.128340121,0.260005219,0.029880084,0.494407006
Bin70,0.124291222,0,0.252015291,0.177115034,0.446578452
Bin58,0.024671949,0.29225766,0.297373103,0.007427582,0.378269706
Bin59,0.113518874,0.258659233,0.543209361,0,0.084612532
Bin60,0.050667819,0.306768943,0.630164034,8.6e-05,0.012313179
Bin61,0.004040307,0.011619358,0.891900429,0,0.092439906
Bin63,0.009834832,0.056853338,0.321459379,0.003545728,0.608306724
Bin64,0.014495162,0.230957478,0.638678409,0.003128268,0.112740684
Bin62,0,0.205191028,0.749160606,0.000705116,0.044943251
Bin49,0,0.058187794,0.807187699,0,0.134624507
Bin50,0,0,0,0.003941596,0.996058404
Bin51,0,0,0.148089684,0.005928345,0.845981971
Bin52,0,0.267104314,0.446753924,0.008257319,0.277884443
Bin53,0.027280116,0.047422047,0.77809568,0.001497435,0.145704723
Bin48,0.004329412,0.014693842,0.504284815,0.001749867,0.474942064
Bin44,0,0.644933919,0.154653119,0.061419545,0.138993417
Bin45,0,0.373695341,0.505883875,0,0.120420784
Bin46,0,0.407275059,0.433009194,0,0.159715747
Bin47,0,0.857509828,0,0.013853774,0.128636398
