ID	PREBinRA	INEBinRA	POSTBinRA	Phylum	HeS1	HoS1	DL1	HD1	DR1	HeS2	HoS2	DL2	HD2	DR2	HeS3	HoS3	DL3	HD3	DR3
Bin39	0.005977414	5.82E-05	0.000966367	others	0	0.622742357	0.348895238	0.003004751	0.025357654	0	0.174971424900001	0	0.371448680338822	0.453579894761176	0	0.109801296	0	0.005360764	0.88483794
Bin40	0.07797763	0.042114935	0.013306697	Arthropoda	0	0.515200593	0.356891674	0.000273297	0.127634436	0	0.778333824100866	0.100174707311799	0	0.121491468587335	0.058709242	0.304651564	0.257048415	0.008508392	0.371082387
Bin41	0.000353804	0.00361438	0.000135736	unclassified_d__Eukaryota	0	0.005784683	0	0.005492816	0.988722501	0	0.391803438520723	0.53394624161349	0	0.0742503198657869	0	0.02189155	0	0.012409863	0.965698587
Bin42	0.000944728	0.003916366	0.000972581	unclassified_d__Eukaryota	0	0.001722227	0	0.009704867	0.988572905	0	0.151732535946494	0.663126667044924	0.00219921543608918	0.182941581572493	0.011452411	0	0.025496396	0	0.963051193
Bin43	0.00201153	0.000729381	0.000579223	others	0	0.256012362	0.630642273	0.004689512	0.108655853	0	0.168049709583466	0.160110236967976	0.00228683997585817	0.669553213472701	0.007039289	0.189735753	0.226342749	0.008429818	0.568452391
Bin56	0.0004963	0.000355794	0.004576342	others	0.061530853	0.288234207	0	0.132925066	0.517309874	0	0.102124570329804	0	0.25314951720035	0.644725912469846	0	0.282051163	0.593089624	0	0.124859212
Bin54	0.000276248	0.000762509	0.018813859	others	0	0.297918667	0	0.069982704	0.632098628	0	0.106498033376084	0	0.0220745420681073	0.871427424555808	0	0.007724176	0.717785561	0	0.274490263
Bin55	4.43E-05	3.77E-05	0.000355067	unclassified_d__Eukaryota	0	0.056870285	0	0	0.943129715	0	0.0776287294588499	0.107336006697214	0.00806347166249615	0.80697179218144	0.040432064	0.096511295	0.785370359	0	0.077686282
Bin57	0.012486903	0.01158187	0.008958913	Basidiomycota	0	0.082750394	0.548894849	0	0.368354757	0	1	0	0	0	0.015961399	0.269712939	0.28631659	0.002881912	0.425127159
Bin65	0.003950309	0.031381249	0.014756157	Basidiomycota	0	0	0	0.264800078	0.735199922	0	0	0.825764787667562	0.0141812533334097	0.160053958999028	0	0.751757915	0.075861349	0.01379759	0.158583146
Bin66	0.000328983	0.003938193	0.004492768	Basidiomycota	0	0.022166656	0	0.977833344	0	0.000740041	0.0122738539715817	0.927725556922129	0.0286126224546732	0.0306479254162923	0	0.286026746	0.423889863	0	0.290083391
Bin67	0.004966846	0.014482092	0.064590161	Basidiomycota	0	0	0	0.201473236	0.798526764	0	0.169082608850463	0.535954445530029	0.0321882295609082	0.2627747160586	0	0.331222597	0.579295723	0.004203705	0.085277976
Bin4	0.001667643	0.000705177	0.001457577	unclassified_d__Eukaryota	0	0.15711554	0.145029688	0	0.697854772	0	0.0710013340076965	0.311421438959076	0.00906365990372403	0.608513567129503	0.034100989	0.004569945	0.739429997	0.00796603	0.213933039
Bin7	0.007986267	0.003491107	0.000191742	SAR_d__Eukaryota	0	0	0.610287284	0	0.389712716	0.106904417	0.040918748240954	0.354127883516893	0.00366706771281369	0.494381883309032	0	0.007095371	0	0.988819747	0.004084882
Bin8	0.094258416	0.081660039	0.036820926	SAR_d__Eukaryota	0	0.424255615	0.446071116	0.009825247	0.119848022	0	0	0.696448831122446	0.0137048439196256	0.289846324957928	0	0.013816778	0.709849793	0.066508271	0.209825158
Bin9	0.000589972	0.001270235	0.013630162	SAR_d__Eukaryota	0	0	0	0.293235119	0.706764881	0	0	0	0.168207437993721	0.831792562006279	0	0	0.798470763	0	0.201529237
Bin10	0.007440374	0.003603009	0.006417463	SAR_d__Eukaryota	0.253128343	0	0.436118139	0.000582927	0.310170591	0	0.00508480450045355	0.448313481550594	0.0137943367288866	0.532807377220066	0	0.155791163	0.585989958	0.002633014	0.255585864
Bin11	4.31E-05	0.000145907	0.005570785	SAR_d__Eukaryota	0.171000446	0.021001674	0	0.690704785	0.117293094	0.058367742	0.0533246165795495	0	0.0853548551621832	0.802952786294796	0.006024916	0.441069939	0.533859421	0	0.019045724
Bin13	0.000334446	0.000162776	0.005509017	SAR_d__Eukaryota	0.148828416	0.02968383	0	0	0.821487754	0.113917243	0.108169018419138	0	0	0.777913738544592	0.14591866	0.149470433	0.690758973	0	0.013851935
Bin12	0.000436253	0.000357894	0.008284378	SAR_d__Eukaryota	0.017068942	0.101513579	0	0.418405181	0.463012298	0	0.0352494350724408	0	0.428064103974287	0.536686460953272	0	0	0.930190138	0	0.069809862
Bin14	0.000215158	0.000143122	0.003149595	SAR_d__Eukaryota	0	0.23753144	0	0.046606546	0.715862013	0.01695918	0.228125992812871	0	0.031345285793586	0.723569541255189	0.006273319	0.061951526	0.906267972	0	0.025507182
Bin15	0.003564712	0.071078268	0.005118789	SAR_d__Eukaryota	0.022566732	0	0	0.110341094	0.867092174	0	0.00196910988934195	0.961406717263739	0.00260341576659007	0.0340207570803285	0	0	0	0.195875244	0.804124756
Bin16	0.045815736	0.02238337	0.000494255	SAR_d__Eukaryota	0	0	0.70420296	0.008128904	0.287668136	0	0.0355154038578916	0.320475453469993	0.000688700579634991	0.643320442092481	0.149837247	0.204194913	0	0.64596784	0
Bin17	0.01039912	0.009510063	0.00441595	SAR_d__Eukaryota	0	0.649184113	0.068415073	0.013095925	0.269304888	0.126124799	0.3092556874714	0.532256000925315	0.00227397366891006	0.0300895388201124	0.0220005	0.702557655	0.0660201	0.009105076	0.20031667
Bin18	0.004059372	0.007492029	0.000418321	SAR_d__Eukaryota	0	0.077197991	0.489922583	0	0.432879426	0	0.00319548662311414	0.901617485120731	0.000300697867430271	0.0948863303887247	0	0.163669969	0	0.178076607	0.658253424
Bin19	0.002581276	0.007213783	0.002888356	SAR_d__Eukaryota	0	0	0.025612618	0.069033226	0.905354156	0	0	0.84005188888767	0.00264891141711669	0.157299199695213	0	0	0.729641602	0.019047718	0.25131068
Bin20	0.001015429	0.000813461	0.000100281	SAR_d__Eukaryota	0	0.003498348	0.715931904	0	0.280569747	0.034905239	0	0.723406480046821	0	0.241688280864662	0.075090573	0.200921522	0	0.247659147	0.476328758
Bin21	0.00766412	0.017511547	0.053466401	SAR_d__Eukaryota	0	0	0	0.382495778	0.617504222	0	0.446070073016594	0.0357530537658995	0.0682693625098554	0.449907510707651	0	0	0.82941919	0.006500575	0.164080236
Bin22	8.50E-05	4.58E-05	0.001221844	SAR_d__Eukaryota	0	0.092406299	0	0.003981341	0.90361236	0	0.0113290645188071	0	0.0253396535667178	0.963331281914475	0	0.007878723	0.901390017	0	0.09073126
Bin23	0.000139631	0.000201374	0.001914519	SAR_d__Eukaryota	0	0.205758566	0	0.026679126	0.767562308	0	0.0245199412077653	0.787386182455459	0.0205046474891084	0.167589228847668	0.049768332	0.131638126	0.793830125	0	0.024763417
Bin25	0.004631567	0.000407534	0.001760929	unclassified_d__Eukaryota	0	0.075020762	0.754576444	0	0.170402795	0	0	0	0	1	0.011411799	0.024166373	0.640400282	0.000353348	0.323668198
