OTU ID	Domain	Phylum	Class	Order	Family	Genus
OTU1	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Sporichthyaceae	unclassified_f__Sporichthyaceae
OTU2	Bacteria	Pseudomonadota	Gammaproteobacteria	unclassified_c__Gammaproteobacteria	unclassified_c__Gammaproteobacteria	unclassified_c__Gammaproteobacteria
OTU3	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Gallionellaceae	unclassified_f__Gallionellaceae
OTU4	Bacteria	NB1-j	norank_p__NB1-j	norank_p__NB1-j	norank_p__NB1-j	norank_p__NB1-j
OTU5	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	norank_o__Saccharimonadales	norank_o__Saccharimonadales
OTU6	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	cvE6	norank_f__cvE6
OTU7	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	unclassified_o__Microtrichales	unclassified_o__Microtrichales
OTU8	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12_marine_group	norank_f__NS11-12_marine_group
OTU9	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium
OTU10	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	norank_f__AKYH767
OTU11	Bacteria	Patescibacteria	Gracilibacteria	unclassified_c__Gracilibacteria	unclassified_c__Gracilibacteria	unclassified_c__Gracilibacteria
OTU12	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	unclassified_o__Chlamydiales	unclassified_o__Chlamydiales
OTU13	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	norank_f__AKYH767
OTU14	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
OTU15	Bacteria	Chloroflexota	KD4-96	norank_c__KD4-96	norank_c__KD4-96	norank_c__KD4-96
OTU16	Bacteria	Bacillota	Clostridia	Clostridiales	Oxobacteraceae	Oxobacter
OTU17	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	norank_f__Gemmataceae
OTU18	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter
OTU19	Bacteria	Actinomycetota	Actinobacteria	unclassified_c__Actinobacteria	unclassified_c__Actinobacteria	unclassified_c__Actinobacteria
OTU20	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	norank_f__Gemmatimonadaceae
OTU21	Bacteria	Actinomycetota	Thermoleophilia	norank_c__Thermoleophilia	norank_c__Thermoleophilia	norank_c__Thermoleophilia
