"Method","samp1","samp2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","S1_10B","S10_1B",7.00928636736639e-05,0.697360923617354,0.141816470752026,0.00783590418908066,0.152916608577866
"CbMPDiCbraya","S1_10B","S11_1Z",0.000210826557065559,0.60775104497186,0.142886476286272,0.0226695907747763,0.226482061410026
"CbMPDiCbraya","S1_10B","S12_1D",0.000213302256450198,0.73329421441919,0.135266621633411,0.0107243422243336,0.120501519466615
"CbMPDiCbraya","S1_10B","S13_2B",0.00426405286425689,0.595899568695586,0.255417325325893,0.0108352231467334,0.133583829967531
"CbMPDiCbraya","S1_10B","S14_2Z",0.00212120635089316,0.621989446035063,0.223652805317501,0.0142684841727825,0.137968058123761
"CbMPDiCbraya","S1_10B","S15_2D",0.00233441242515684,0.618793235533383,0.260642432083231,0.0131186859873309,0.105111233970898
"CbMPDiCbraya","S1_10B","S16_3B",0.00117273930982719,0.447034374005163,0.414771104499608,0.0700142263881209,0.0670075557972809
"CbMPDiCbraya","S1_10B","S17_3Z",0.000217941780585034,0.52593122704025,0.367907852551511,0.00642319523644867,0.0995197833912054
"CbMPDiCbraya","S1_10B","S18_3D",0.000120912625921379,0.495666715131465,0.405375753793114,0.00934536989690625,0.0894912485525943
"CbMPDiCbraya","S1_10B","S19_4B",0.00117273930982719,0.447034374005163,0.41697728504242,0.0732956485714306,0.0615199530711595
"CbMPDiCbraya","S1_10B","S2_10Z",0,0.568442381317933,0.1067782620592,0.0363086619738582,0.288470694649009
"CbMPDiCbraya","S1_10B","S20_4Z",0.000217941780585034,0.52593122704025,0.367642277081199,0.00682115663316699,0.0993873974647986
"CbMPDiCbraya","S1_10B","S21_4D",0.000120912625921379,0.495666715131465,0.411205037150458,0.00934536989690625,0.0836619651952495
"CbMPDiCbraya","S1_10B","S22_5B",0.0139515578550563,0.507247990802865,0.132083093553275,0.00131427189220929,0.345403085896594
"CbMPDiCbraya","S1_10B","S23_5Z",0.00974804203129579,0.364739460263087,0.416858059466154,0.00457143216725565,0.204083006072208
"CbMPDiCbraya","S1_10B","S24_5D",0.0643637705886857,0.420531876192589,0.249210491353521,0.00983566823467397,0.25605819363053
"CbMPDiCbraya","S1_10B","S25_6B",0.0241534865486128,0.490869443165308,0.12619762650976,0.00134518573711908,0.3574342580392
"CbMPDiCbraya","S1_10B","S26_6Z",0.0630622621772926,0.416886168058946,0.392505893190057,0.000991308011970395,0.126554368561734
"CbMPDiCbraya","S1_10B","S27_6D",0.0703805807223855,0.436238954865244,0.373623710006544,0.000760920901909979,0.118995833503916
"CbMPDiCbraya","S1_10B","S28_7B",0.0806834049430316,0.47535579814281,0.275265131565455,0.0111677216428747,0.157527943705829
"CbMPDiCbraya","S1_10B","S29_7Z",0.0739797846572461,0.511800872561433,0.29007395439858,0.00737458128713039,0.116770807095611
"CbMPDiCbraya","S1_10B","S3_10D",0.000993613238289255,0.465861622567212,0.0488261861309309,0.0825623221931791,0.401756255870389
