Method,GroupBasedOn,Group,Index,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92
CbMPDiCbraya,Management,Pre,HeS,0,0,0,0,0,0.019109471,0,0,0,0.121210219,0,0,0,0,0.004693294,0,0,0.011040145,0,0.031820655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036341415,0,0,0,0,0,0,0,0,0,0.009662995,0,0,0,0,0,0,0,0,0.157832791,0.010979496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006533028,0,0,0,0.016789272,0,0,0,0,0,0,0,0.01591784,0.164155271,0,0,0,0,0,0
CbMPDiCbraya,Management,Pre,HoS,0.312755458,0,0.043542984,0,0,0,0.374088444,0.268414586,0.565871456,0,0.044335253,0.819660582,0.646488493,0.389679117,0.195553465,0,0,0.216555531,0.250911871,0,0.020620327,0,0.258349973,0.363177428,0.919503711,0.075185864,0,0.376893623,0,0,1,0.296732532,0.39284273,0.878851633,0,0,0.040516944,0.402127016,0.35467118,0.643233389,0.069359909,0,0.732895057,1,0.053432462,0.598585117,0.104077808,0.181818182,0.980934267,0.506568564,0.024342527,0.024265322,0.001727704,0.031141709,0.021998711,0.04448801,0.784374992,0.385249952,0.045686662,1,0,0,0.425570823,1,0.025322368,0.978817612,0.365871151,0.094013524,0.12331777,0.1886222,0.983957067,0,0.135857746,0.345499209,0.222996079,0,0.09480271,0.978251039,1,0.015805477,0.348734482,1,0,0.002610936,0,0.069349353,0.073595017,0.411744106,0.078410653,0,0.374223553,0.398287841
CbMPDiCbraya,Management,Pre,DL,0.499970594,0.832415582,0.649173973,0.153348018,0,0.627115537,0,0,0.152220014,0,0,0,0,0,0,0.815725562,0.256150247,0.658411442,0.583934571,0,0.223580267,0.032496549,0,0.164422671,0.080496289,0.205730858,0.832733445,0,0.4705539,0.305683033,0,0,0,0,0.666623747,0,0,0.422742673,0.35504676,0.205000811,0,0.604559438,0,0,0.772389412,0,0,0.713701094,0,0.280840044,0.657434164,0.044185946,0.032447916,0.282451396,0.361711403,0,0,0.493696345,0.075687392,0,0,0,0,0,0,0,0.435537575,0.863377085,0.542517869,0.315454492,0,0.688737301,0.09308069,0,0,0.365588956,0,0,0,0.590311364,0.407267275,0,0.555091839,0,0.420906808,0.528600423,0,0.23999342,0.779877484,0.47152549,0.204742062,0.420764744
CbMPDiCbraya,Management,Pre,HD,0.02577989,0.030751723,0.007508228,0.035619007,0,0.0051617,0.604033786,0.668846374,0.120856179,0.878789781,0.955664747,0.180339418,0.082565086,0.447665766,0.771424787,0.004242707,0,0,0.003456278,0.027349906,0,0.023117408,0.128963176,0,0,0,0.01225108,0.195768415,0,0.015635125,0,0.038481112,0.431380052,0.041592869,0,0.807187897,0.959483056,0,0.005199653,0.010538743,0.254779963,0.052116877,0,0,0.03021717,0.020580299,0.226184936,0.000600568,0.000887227,0.029042092,0.008428832,0.181412313,0.154384336,0.034154311,0.081171005,0.022878732,0.08410565,0,0.043687732,0,0,0.339835953,0.088359654,0,0.729688117,0,0,0,0.003864343,0.005141571,0,0.024272628,0.117052477,0.152479217,0.09328923,0,0.035986797,0,0,0.181677823,0.018080646,0,0,0.149136603,0.028769141,0,0.050698265,0,0,0,0.02187115,0
CbMPDiCbraya,Management,Pre,DR,0.161494058,0.136832695,0.299774815,0.811032975,1,0.348613291,0.021877769,0.06273904,0.16105235,0,0,0,0.270946421,0.162655117,0.028328454,0.180031731,0.743849753,0.113992882,0.161697279,0.940829439,0.755799406,0.944386044,0.612686852,0.472399902,0,0.719083278,0.155015474,0.427337963,0.5294461,0.678681842,0,0.664786355,0.175777218,0.079555498,0.333376253,0.156470689,0,0.175130311,0.285082407,0.141227057,0.675860128,0.343323685,0.267104943,0,0.143960955,0.371171589,0.669737256,0.103880156,0.018178506,0.1835493,0.309794477,0.750136419,0.811440044,0.652252585,0.37728609,0.921653762,0.131519358,0.121053703,0.834938214,0,1,0.660164047,0.486069523,0,0.244989515,0.021182388,0.198591274,0.042609391,0.330300017,0.490781737,0.016042933,0.286990071,0.64747606,0.502021573,0.683714692,0.634411044,0.852421221,0.021748961,0,0.212205337,0.225917597,0,0.444908161,0.848252461,0.534406211,0.237894952,0.875706717,0.348262475,0.141711863,0.52847451,0.399163234,0.180947415
CbMPDiCbraya,Management,Pre,DominantProcess,DL,DL,DL,DR,DR,DL,HD,HD,HoS,HD,HD,HoS,HoS,HD,HD,DL,DR,DL,DL,DR,DR,DR,DR,DR,HoS,DR,DL,DR,DR,DR,HoS,DR,HD,HoS,DL,HD,HD,DL,DL,HoS,DR,DL,HoS,HoS,DL,HoS,DR,DL,HoS,HoS,DL,DR,DR,DR,DR,DR,HoS,DL,DR,HoS,DR,DR,DR,HoS,HD,HoS,DL,DL,DL,DR,HoS,DL,DR,DR,DR,DR,DR,HoS,HoS,DL,DL,HoS,DL,DR,DR,DL,DR,HoS,DL,DR,DR,DL
CbMPDiCbraya,Management,Pre,DominantProcessImportance,0.499970594,0.832415582,0.649173973,0.811032975,1,0.627115537,0.604033786,0.668846374,0.565871456,0.878789781,0.955664747,0.819660582,0.646488493,0.447665766,0.771424787,0.815725562,0.743849753,0.658411442,0.583934571,0.940829439,0.755799406,0.944386044,0.612686852,0.472399902,0.919503711,0.719083278,0.832733445,0.427337963,0.5294461,0.678681842,1,0.664786355,0.431380052,0.878851633,0.666623747,0.807187897,0.959483056,0.422742673,0.35504676,0.643233389,0.675860128,0.604559438,0.732895057,1,0.772389412,0.598585117,0.669737256,0.713701094,0.980934267,0.506568564,0.657434164,0.750136419,0.811440044,0.652252585,0.37728609,0.921653762,0.784374992,0.493696345,0.834938214,1,1,0.660164047,0.486069523,1,0.729688117,0.978817612,0.435537575,0.863377085,0.542517869,0.490781737,0.983957067,0.688737301,0.64747606,0.502021573,0.683714692,0.634411044,0.852421221,0.978251039,1,0.590311364,0.407267275,1,0.555091839,0.848252461,0.534406211,0.528600423,0.875706717,0.411744106,0.779877484,0.52847451,0.399163234,0.420764744
CbMPDiCbraya,Management,Pre,DominantProcessPvalue,0.34,0,0.06,0,0,0.18,0.24,0.05,0.26,0,0,0.04,0.12,0.46,0.03,0,0,0.05,0.12,0,0.01,0,0.1,0.35,0,0.03,0.01,0.41,0.49,0.11,0,0.12,0.46,0,0.13,0,0,0.39,0.56,0.13,0.07,0.12,0.07,0,0.01,0.2,0.07,0.42,0,0.35,0.14,0.02,0.02,0.08,0.44,0,0.01,0.38,0,0,0,0.12,0.41,0,0.03,0,0.43,0,0.34,0.24,0,0.07,0.02,0.37,0.01,0.1,0,0,0,0.3,0.48,0,0.29,0,0.34,0.22,0.01,0.42,0,0.45,0.6,0.54
CbMPDiCbraya,Management,In,HeS,0,0.541162985,0.378731804,0,0,0,0,0,0,0.092708898,0,0,0,0.053285487,0,0,0,0.05481547,0.205538906,0.497356072,0,0,0,0,0,0,0,0,0.027156048,0,0,0,0,0,0,0.087688471,0.044673758,0,0.167181844,0.102200385,0,0,0,0,0.418321982,0.007150606,0,0.071624681,0.115033649,0,0,0,0,0,0.082208982,0,0,0,0,0,0.010370928,0,0,0,0.158144794,0,0.066009444,0.011146741,0.006672757,0.205429023,0,0,0.092296545,0.018876167,0,0,0,0,0,0,0,0,0.046117571,0,0.206931897,0,0.001456532,0,0,0,0,0
CbMPDiCbraya,Management,In,HoS,0.667103078,0,0.261974988,0.042096198,0,0.020448113,0.696782415,0.325489536,0.986341194,0.268636228,0.326620263,0.769658688,0.522545791,0.081825422,0.0378484,0.157920124,0.013207218,0.191452317,0.143311795,0,0.003394811,0,0.018890553,0.290026289,0.219994958,0.016825151,0.135070311,0.887132964,0,0.35593594,0.883498242,0.156902516,0.415501127,0.53626418,0.000193875,0.437347859,0.441547293,0.18364546,0.012501569,0.219576491,0.066498307,0.235612729,1,0.967999223,0.035635328,0.094427362,0.779193053,0.051623984,0.611815117,0.908395401,0,0,0,0.165843384,0.002134334,0.007366232,0.726466237,0.04358944,0.328242239,0.947810926,0.007934184,0.517298765,0.561907636,0.98663458,0.172390282,0.760565997,0.00377286,0.097307977,0.174892903,0.168192547,1,0.002482971,0.001772317,0.01954605,0.001186709,0,0.283907248,0.936507563,0.439916208,0.048651002,0.896168284,0.899132635,0.257810665,0.115058521,0.351862837,0,0.636228256,0.04606155,0.089002804,0,0.082218941,0.025160329
CbMPDiCbraya,Management,In,DL,0.238042192,0.406433222,0.191652766,0.283424524,0.264114486,0.663870134,0.124834922,0.194951016,0,0.596293952,0.616437969,0.173375561,0.139585581,0,0,0,0,0.161362315,0.2003,0,0,0,0,0.357553276,0,0.743994547,0,0.057077796,0,0.107695663,0.081981647,0.085342034,0.320750287,0,0.268372273,0.421834605,0.352189072,0.411733016,0,0.372401106,0.727923065,0,0,0,0,0.860904949,0.091024548,0,0.260286069,0.033888581,0.53905666,0.824236792,0.835006575,0.175628882,0.726832464,0.24262229,0.204977073,0,0,0,0,0.073219709,0.153614462,0,0.247182524,0,0,0,0,0.258082873,0,0,0,0.779426684,0.043092526,0,0.595784445,0,0.299355253,0,0,0.062923335,0.529130462,0,0.246118979,0.746555367,0.13725658,0.841957079,0.684736726,0,0.820769347,0.65139273
CbMPDiCbraya,Management,In,HD,0.09485473,0.044086419,0.118960041,0.050021621,0.065199205,0.079090644,0.037961938,0.134440309,0.012382549,0.034269202,0.021933258,0,0.007608734,0.525555808,0.9621516,0.686501304,0.413813137,0.284473029,0.226561953,0.222475517,0.885939226,0.831472013,0.306871693,0.078877852,0.137414689,0.08708667,0.475065987,0.007675071,0.080329391,0.040579246,0,0.200641166,0.08208077,0.333397817,0.128297304,0.009463098,0.079043348,0.075942321,0.079570507,0.053793386,0.13061298,0.321786197,0,0,0.248113727,0.00387069,0.047012828,0.071266926,0.007184905,0.002040548,0.086811605,0.109734752,0.163599237,0.180550322,0.169083503,0.082485505,0.022325342,0.381924133,0.268634686,0.032719808,0.271628879,0.237496031,0.01544701,0,0.073036071,0.07119373,0.341966214,0.248792086,0.153932626,0.032308312,0,0.997517029,0.165742368,0.057363085,0.162689685,0.132588305,0.017483614,0.063492437,0.035688447,0.374100829,0.069425958,0.00614896,0.083301989,0.607983946,0.097888087,0.090311385,0.100338784,0.111981371,0.092959552,0.214030654,0.021159473,0.082918113
CbMPDiCbraya,Management,In,DR,0,0.008317374,0.048680402,0.624457656,0.670686309,0.236591109,0.140420724,0.345119138,0.001276257,0.008091719,0.035008511,0.056965752,0.330259894,0.339333283,0,0.155578571,0.572979645,0.307896869,0.224287347,0.280168411,0.110665963,0.168527987,0.674237754,0.273542583,0.642590353,0.152093632,0.389863702,0.048114169,0.892514561,0.495789151,0.034520111,0.557114285,0.181667816,0.130338003,0.603136547,0.043665967,0.082546528,0.328679203,0.74074608,0.252028632,0.074965648,0.442601075,0,0.032000777,0.297928963,0.033646392,0.082769571,0.805484409,0.00568026,0.05567547,0.374131736,0.066028456,0.001394188,0.477977412,0.019740717,0.667525973,0.046231348,0.574486427,0.403123075,0.019469267,0.710066009,0.171985495,0.269030892,0.01336542,0.349246328,0.168240273,0.588251481,0.642753195,0.664501714,0.335987244,0,0,0.74018877,0.124788014,0.79303108,0.867411695,0.102824693,0,0.225040092,0.577248169,0.034405758,0.03179507,0.083639313,0.276957533,0.0971982,0.163133248,0.124719848,0,0.133300919,0.785969346,0.075852239,0.240528829
CbMPDiCbraya,Management,In,DominantProcess,HoS,HeS,HeS,DR,DR,DL,HoS,DR,HoS,DL,DL,HoS,HoS,HD,HD,HD,DR,DR,HD,HeS,HD,HD,DR,DL,DR,DL,HD,HoS,DR,DR,HoS,DR,HoS,HoS,DR,HoS,HoS,DL,DR,DL,DL,DR,HoS,HoS,HeS,DL,HoS,DR,HoS,HoS,DL,DL,DL,DR,DL,DR,HoS,DR,DR,HoS,DR,HoS,HoS,HoS,DR,HoS,DR,DR,DR,DR,HoS,HD,DR,DL,DR,DR,DL,HoS,HoS,DR,HoS,HoS,DL,HD,HoS,DL,HoS,DL,DL,DR,DL,DL
