"Method","GroupBasedOn","Group","Process","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71","bin72","bin73","bin74","bin75","bin76","bin77","bin78","bin79","bin80","bin81","bin82","bin83","bin84","bin85","bin86","bin87","bin88","bin89","bin90","bin91","bin92"
"CbMPDiCbraya","Management","Pre","HeS",0,0,0,0,0,5.43846449932973e-06,0,0,0,1.20573671045639e-05,0,0,0,0,1.21029232593979e-06,0,0,1.50547460346857e-05,0,2.53988791487941e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95778134559844e-06,0,0,0,0,0,0,0,0,0,1.63160435138623e-06,0,0,0,0,0,0,0,0,3.64948693498808e-05,9.58706438158493e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88816911609652e-07,0,0,0,3.32898678561254e-06,0,0,0,0,0,0,0,2.93637145601139e-06,4.18126862341289e-05,0,0,0,0,0,0
"CbMPDiCbraya","Management","Pre","HoS",0.0012064613163479,0,0.000139366916485162,0,0,0,0.000114082392997959,6.17732106940692e-05,0.000328879963620392,0,3.82023689654228e-05,0.00147087745725143,0.00449273829147649,0.000267245424999614,5.04287303159763e-05,0,0,0.000295303048202549,0.000321129999156843,0,1.6872646219279e-05,0,5.04433621293063e-05,0.00466011413339991,0.0116390000950421,3.30678071443933e-05,0,0.000427513148859813,0,0,0.0101169790907238,0.00359629870273859,0.00233510649458156,0.0244098626921228,0,0,4.46691824113646e-07,0.00412394110019334,0.000210838701536829,0.0155569374896749,4.72780496351292e-05,0,0.0316631959981913,0.00550106454791131,0.00105494623622307,0.000101071565950898,0.000359848280855696,0.000408576227042053,0.0253064338591334,0.00266144072789905,5.29028257235425e-06,1.99236678585103e-06,2.60297324991325e-07,0.000230922025830473,5.08664946651616e-06,3.8845990600236e-05,0.00986721292372328,0.00220517743495747,0.000362453666311115,0.0395470932124804,0,0,0.000748662479124605,0.00121486503635668,6.23795140217431e-05,0.175549084775623,0.00170534796228829,3.4711878769438e-05,6.21469696177032e-05,3.66227272757289e-05,0.00222704507420683,0,2.05629651368638e-05,4.45152616788809e-05,9.62806257501992e-05,0,1.8797537062707e-05,0.0130967814175406,0.165627863923639,1.29482469179937e-05,0.0315334320313661,0.00521062290292445,0,6.36137372295212e-06,0,1.76642683048918e-05,0.00012439192939109,7.75175657788746e-05,2.10061366363282e-05,0,7.24074113907385e-05,7.95143296227051e-05
"CbMPDiCbraya","Management","Pre","DL",0.00192864797276442,0.025141596193655,0.0020777945462198,0.00277078863211767,0,0.000178474094670231,0,0,8.84690546091847e-05,0,0,0,0,0,0,0.0152121867428445,0.000799451114722085,0.000897833942415956,0.000747349687992017,0,0.000182945240132752,4.61438899965808e-06,0,0.0021097908444579,0.00101891520360459,9.04833432838186e-05,0.00501155391563022,0,0.00199530229738009,0.00169896410742872,0,0,0,0,0.00406278687524554,0,0,0.00433536125355222,0.000211061969980899,0.00495805233204067,0,0.0191798969048087,0,0,0.0152497052418317,0,0,0.00160380715175236,0,0.00147549450204859,0.000142878037508464,3.62800103474577e-06,4.88863119781379e-06,0.00209443382852095,8.36366784466104e-05,0,0,0.00282592647534155,0.000600463501849464,0,0,0,0,0,0,0,0.0020300674567907,0.00031877797401224,0.000273406188941818,6.12483780549438e-05,0,0.000539206438504553,1.40883758018267e-05,0,0,0.00332740550553568,0,0,0,0.000483598013002333,0.0368261115912168,0,0.00135311988120523,0,7.76448777604191e-05,0.000134642058639806,0,4.51826885389617e-05,0.000208928408753062,0.00369779380225898,3.96149377573846e-05,8.4001626673334e-05
"CbMPDiCbraya","Management","Pre","HD",9.94465119744696e-05,0.000928799760509052,2.40313930731213e-05,0.000643586660998884,0,1.46899534285076e-06,0.000184206758758793,0.00015392899683947,7.02406443019515e-05,8.74174728457787e-05,0.000823467881731512,0.000323618324433997,0.000573781791267053,0.00030701318773274,0.000198932668412013,7.91207815736698e-05,0,0,4.42352397777723e-06,2.18303790714473e-05,0,3.28258584963871e-06,2.51803246226912e-05,0,0,0,7.37294150079802e-05,0.000222061521851127,0,8.6898889163705e-05,0,0.000466378164785756,0.00256417717861032,0.00115523049995411,0,4.34847520645492e-05,1.05781236113481e-05,0,3.09099844678754e-06,0.000254885029549162,0.000173666601728246,0.0016534293694498,0,0,0.000596594065883011,3.47499955926632e-06,0.000782032808903152,1.34957762076406e-06,2.28889496361054e-05,0.000152583111717184,1.83181085283799e-06,1.48953256998177e-05,2.32596780768046e-05,0.000253261072456092,1.87687564928561e-05,1.99772261454289e-05,0.00105802500701881,0,0.000346595222053737,0,0,0.00292205715931589,0.000155441948314753,0,0.00179752504610138,0,0,0,1.94746653999034e-06,9.98283099034028e-07,0,1.900282917622e-05,1.77166637494289e-05,1.96459270419449e-05,4.02784903083335e-05,0,7.1354833005843e-06,0,0,0.000148835071523669,0.00163489664643774,0,0,0.000363361580475869,5.30705695617742e-06,0,8.56913317438155e-05,0,0,0,4.23178435997176e-06,0
"CbMPDiCbraya","Management","Pre","DR",0.000622967014314117,0.00413278227118408,0.000959481587551624,0.0146542549450374,0.00819722603161146,9.92136821233357e-05,6.67186677711654e-06,1.44388275806323e-05,9.36023376668448e-05,0,0,0,0.00188292811445347,0.000111550334665261,7.3052553230295e-06,0.0033573501211981,0.00232157306966506,0.000155444866705225,0.000206948547111985,0.000750959187307036,0.000618435186273107,0.000134099303884887,0.00011962836467631,0.0060616032001274,0,0.000316263002816474,0.000932913660359726,0.000484732526823903,0.00224502446598078,0.00377206441620413,0,0.00805698751171028,0.00104484184837687,0.00220963210261577,0.00203178580543697,8.42937454085987e-06,0,0.0017960173270146,0.000169470788631385,0.00341565059108654,0.000460689020833906,0.0108920851723796,0.0115397096437514,0,0.00284229961580521,6.26726136801672e-05,0.00231561180011749,0.000233436292316119,0.000468974510257091,0.000964342475604334,6.73266302411491e-05,6.15918847850822e-05,0.000122252261408164,0.00483658392028393,8.72379338366766e-05,0.000804768604413071,0.00165447588887288,0.000692913501551907,0.00662395558706485,0,0.0421582427206569,0.0056763772801093,0.000855091548703649,0,0.000603510979337149,0.00379902122987871,0.0009256461541899,1.57323324213806e-05,0.000166457317105498,9.52897679709682e-05,3.63108680927036e-05,0.000224682029090874,9.79997687657586e-05,6.46821211408375e-05,0.000295200161201403,0.00577408798941129,0.000169018581237296,0.000291174118814278,0,0.000173843983919984,0.0204280263549002,0,0.00108453058634669,0.00206671164728262,9.85821662199067e-05,6.05952335059081e-05,0.00148013890018194,6.55661099330395e-05,3.7964468263297e-05,0.0041443989893747,7.72329168568476e-05,3.61244077344657e-05
"CbMPDiCbraya","Management","In","HeS",0,0.00926705926328674,0.000639041141197264,0,0,0,0,0,0,0.000195386106968282,0,0,0,6.03620426784221e-05,0,0,0,3.13040783915402e-05,0.000183867502533696,0.000471405844676266,0,0,0,0,0,0,0,0,3.37064449531621e-05,0,0,0,0,0,0,0.00011778353662911,3.64835107561208e-05,0,4.28151721062094e-05,0.00145502698488256,0,0,0,0,0.00193311985503627,7.89421763078458e-05,0,3.89966930804268e-05,0.00661008611660537,0,0,0,0,0,3.45354287732176e-05,0,0,0,0,0,2.44768662796612e-05,0,0,0,0.00172035206901549,0,4.28008414272096e-05,2.01963171216274e-06,2.78450700303511e-06,7.46601768005329e-05,0,0,2.16252875517558e-05,1.87258027517567e-05,0,0,0,0,0,0,0,0,0.000101317940179378,0,9.55015940339592e-05,0,3.60184991011383e-06,0,0,0,0,0
"CbMPDiCbraya","Management","In","HoS",0.00207328655882147,0,0.000442035217065419,0.000439051829890826,0,9.28823073118359e-06,0.00105093252737782,0.000436867131818183,0.00146412750028674,0.000566156951977129,0.0515968564367408,0.0417734354481834,0.036868180786867,9.26922117246646e-05,1.05222981378015e-05,0.000215138744534237,9.98041513547818e-06,0.000109334798702644,0.000128201430974853,0,8.9661893964051e-07,0,4.04342099260866e-06,0.00526454655512171,0.000448187975508775,1.18812655159093e-05,9.72700835658451e-05,0.00403591672112218,0,0.00162125749818897,0.0312312112351823,0.00160854821274098,0.00673854173960649,0.00324153072274299,5.96805827953867e-07,0.000587447550435152,0.000360596376307567,0.000756866597846005,3.20164436454563e-06,0.00312611074318698,9.12084268828006e-05,0.00188625726973217,0.0150506810851656,0.00457850913918998,0.0001646754479639,0.00104247122724764,0.0125929554439445,2.81071364736778e-05,0.0351562402020427,0.00678304812174269,0,0,0,0.000707404071386611,8.9661893964051e-07,3.78017290263624e-05,0.0483575007001722,3.56579172376089e-05,0.000592411567247389,0.0142581502203727,1.87258027517567e-05,0.00237068674753198,0.00363706179338419,0.0609464184560446,0.0018753192637965,0.0201560529990522,2.44634081928624e-06,1.76308278223796e-05,7.29819039123944e-05,6.1127123476826e-05,0.0114307713664622,4.15257904226578e-07,4.15257904226578e-07,1.93903500320893e-05,4.48309469820255e-07,0,0.000321603862191338,0.00462338297829554,0.0614999559211876,3.2024344969715e-05,0.0216555366287162,0.00688154393647831,0.00056639681600933,8.04382394776257e-05,0.000162388990687117,0,0.00157332571438446,1.17594275807189e-05,2.54230122269234e-05,0,5.78303600457287e-05,5.26758446789687e-06
"CbMPDiCbraya","Management","In","DL",0.000739810221491552,0.00695990090923131,0.000323379238385817,0.00295604026624124,0.00304473356425968,0.000301552477338292,0.000188284143065073,0.000261660304503035,0,0.00125670304607199,0.097379939406951,0.00941000589366537,0.00984845064418393,0,0,0,0,9.21509671397919e-05,0.000179180971117299,0,0,0,0,0.00649029393708087,0,0.000525379925568828,0,0.000259669340636552,0,0.000490544450965152,0.00289800929986259,0.000874917623926943,0.00520188527426164,0,0.000826129011013342,0.000566610081121591,0.000287620612934598,0.00169689448065245,0,0.00530187494523431,0.000998412147862354,0,0,0,0,0.00950432820718199,0.00147109637781605,0,0.0149566091351682,0.000253048256311218,0.000116557596360952,0.000374799433480342,0.000454826207965158,0.000749144058589184,0.000305337325503776,0.00124507918745143,0.0136443766125916,0,0,0,0,0.00033555269381417,0.000994300940565814,0,0.00268893433939286,0,0,0,0,9.37964490396348e-05,0,0,0,0.000773217913599806,1.62793030786524e-05,0,0.00067489146584008,0,0.041849639821881,0,0,0.000481586005549772,0.00116247249998298,0,0.000113586910381441,0.000316859002865677,0.000339421118153816,0.000214950066261904,0.000195590132884931,0,0.000577304773227069,0.000136376049523151
"CbMPDiCbraya","Management","In","HD",0.000294798575653859,0.000754950856084032,0.00020072346684176,0.000521711829981894,0.000751621808395366,3.59256705471981e-05,5.72566626333232e-05,0.000180443748951754,1.83806882626304e-05,7.2223122026587e-05,0.00346484061804856,0,0.000536833656785399,0.000595352019110221,0.000267489406884933,0.000935238807159805,0.000312709820912569,0.000162457168229594,0.000202673942711539,0.000210867554677117,0.000233989419504668,4.63227796241734e-05,6.56842296145749e-05,0.00143178786607464,0.000279950104299732,6.1497209021686e-05,0.000342115954444904,3.49169170733661e-05,9.97058992665805e-05,0.000184834963911416,0,0.00205695228473742,0.00133117494767435,0.0020152740106222,0.000394936942404707,1.27108741270733e-05,6.45519641113301e-05,0.000312984628582423,2.03779600444756e-05,0.000765856500703017,0.0001791474845813,0.00257614075348397,0,0,0.00114656554587508,4.27321411464882e-05,0.000759799446652529,3.88019104672821e-05,0.000412860396148235,1.52369094632526e-05,1.87708505040119e-05,4.98989163250504e-05,8.91121372838087e-05,0.000770136434804267,7.10308182936185e-05,0.000423295754185905,0.00148609482987179,0.000312429319461036,0.000484831859646551,0.000492212021851121,0.000641082812370624,0.00108840138763622,9.99839208005219e-05,0,0.000794510861110413,0.00188673251305282,0.000221732540115517,4.50776037407433e-05,6.42352885466851e-05,1.17419840497645e-05,0,0.000166827115986583,3.88338088213617e-05,5.69061409901493e-05,6.14601864251866e-05,0.000105184257743927,1.9805052260335e-05,0.000313451664245344,0.00498921819084266,0.000246250506362716,0.00167764961451581,4.70612853274732e-05,0.000183010199687396,0.000425045948610627,4.51765460688617e-05,3.83306808661093e-05,0.000248127283969203,2.85886343858896e-05,2.65532289389509e-05,6.94456377326239e-05,1.4882944719616e-05,1.73597956652765e-05
"CbMPDiCbraya","Management","In","DR",0,0.00014242954237084,8.21393373203946e-05,0.00651292255178397,0.00773172706620477,0.000107467758162144,0.000211791663396212,0.000463213686731972,1.89447956134019e-06,1.70534820214816e-05,0.00553036446493555,0.00309183173405474,0.0233014631422363,0.000384398292969793,0,0.000211948785309749,0.000432988579582762,0.000175834080686689,0.000200639164836032,0.000265550244012501,2.92284883360878e-05,9.38899287833072e-06,0.000144316952183075,0.00496533492035092,0.00130912668417347,0.000107402589667298,0.000280758033714973,0.000218890274179663,0.00110780083825321,0.00225827680532312,0.00122026829396319,0.0057114774931893,0.00294626435847122,0.00078784796081347,0.00185663218163585,5.86523172848504e-05,6.74128899063242e-05,0.00135460092580708,0.000189704635776049,0.00358813190051078,0.000102822148530014,0.00354335480328355,0,0.000151359468925346,0.00137676817733867,0.000371453731062031,0.00133768328344863,0.000438553135122372,0.000326400192255672,0.000415732389886505,8.08966831897903e-05,3.00246582357604e-05,7.59411000827758e-07,0.00203881010378679,8.29293966041664e-06,0.00342558259708567,0.00307740723704918,0.000469953029758124,0.000727556492569879,0.000292880913000862,0.00167585683532342,0.000788178439179882,0.00174135732218087,0.000825609095538151,0.00379921860344017,0.00445860040596357,0.000381425093460188,0.000116457779130099,0.000277293127926347,0.000122109654351902,0,0,0.00017342789038188,0.000123793975395169,0.000299587758181913,0.0006881304896601,0.00011647754158271,0,0.0314604360270557,0.000379971502207864,0.000831400931144312,0.000243344714628874,0.000183751282434161,0.000193623003279716,4.48581544925778e-05,6.92383183057643e-05,0.000308419097339851,0,3.80764509469199e-05,0.000255020210743841,5.33522115245799e-05,5.03572882640318e-05
