"Bin","TaxonRelativeAbundance","Domain","Phylum","Class","Order","Family","Genus"
"Bin66",3.99966317946068e-06,"Bacteria","Actinomycetota","Actinobacteria","Frankiales","Sporichthyaceae","unclassified_f__Sporichthyaceae"
"Bin56",1.35726462316905e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","unclassified_c__Gammaproteobacteria","unclassified_c__Gammaproteobacteria","unclassified_c__Gammaproteobacteria"
"Bin45",3.33968531345023e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Gallionellaceae","unclassified_f__Gallionellaceae"
"Bin19",2.33761641260517e-06,"Bacteria","NB1-j","norank_p__NB1-j","norank_p__NB1-j","norank_p__NB1-j","norank_p__NB1-j"
"Bin87",9.048430821127e-07,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","norank_o__Saccharimonadales","norank_o__Saccharimonadales"
"Bin75",2.60109684353026e-06,"Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","cvE6","norank_f__cvE6"
"Bin60",8.06138898250041e-07,"Bacteria","Actinomycetota","Acidimicrobiia","Microtrichales","unclassified_o__Microtrichales","unclassified_o__Microtrichales"
"Bin2",1.8096861642254e-06,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","norank_f__NS11-12_marine_group"
"Bin14",1.12246479773929e-05,"Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"Bin2",7.31696439557561e-06,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767","norank_f__AKYH767"
"Bin86",9.048430821127e-07,"Bacteria","Patescibacteria","Gracilibacteria","unclassified_c__Gracilibacteria","unclassified_c__Gracilibacteria","unclassified_c__Gracilibacteria"
"Bin73",9.048430821127e-07,"Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","unclassified_o__Chlamydiales","unclassified_o__Chlamydiales"
"Bin2",6.61051591739236e-06,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767","norank_f__AKYH767"
"Bin59",9.048430821127e-07,"Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Bin38",3.22078400534439e-05,"Bacteria","Chloroflexota","KD4-96","norank_c__KD4-96","norank_c__KD4-96","norank_c__KD4-96"
"Bin14",3.08157948458108e-06,"Bacteria","Bacillota","Clostridia","Clostridiales","Oxobacteraceae","Oxobacter"
"Bin8",1.35726462316905e-06,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","norank_f__Gemmataceae"
"Bin24",1.35726462316905e-06,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Chthoniobacterales","Chthoniobacteraceae","Candidatus_Udaeobacter"
"Bin66",9.048430821127e-07,"Bacteria","Actinomycetota","Actinobacteria","unclassified_c__Actinobacteria","unclassified_c__Actinobacteria","unclassified_c__Actinobacteria"
"Bin26",1.35726462316905e-06,"Bacteria","Gemmatimonadota","Gemmatimonadia","Gemmatimonadales","Gemmatimonadaceae","norank_f__Gemmatimonadaceae"
"Bin41",1.35726462316905e-06,"Bacteria","Actinomycetota","Thermoleophilia","norank_c__Thermoleophilia","norank_c__Thermoleophilia","norank_c__Thermoleophilia"
"Bin92",1.74071843769091e-06,"Bacteria","Patescibacteria","ABY1","Candidatus_Buchananbacteria","norank_o__Candidatus_Buchananbacteria","norank_o__Candidatus_Buchananbacteria"
"Bin70",9.048430821127e-07,"Bacteria","Actinomycetota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade"
"Bin68",3.82889426513485e-06,"Bacteria","Myxococcota","bacteriap25","norank_c__bacteriap25","norank_c__bacteriap25","norank_c__bacteriap25"
"Bin65",1.35726462316905e-06,"Bacteria","Actinomycetota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade"
"Bin16",9.048430821127e-07,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Opitutales","Opitutaceae","Oleiharenicola"
"Bin38",1.8096861642254e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin81",1.85893648908426e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin4",2.41312511992859e-06,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","norank_o__Chitinophagales","norank_o__Chitinophagales"
"Bin84",9.048430821127e-07,"Bacteria","Chloroflexota","Chloroflexia","Kallotenuales","AKIW781","norank_f__AKIW781"
"Bin70",9.048430821127e-07,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin56",9.048430821127e-07,"Bacteria","Pseudomonadota","Gammaproteobacteria","unclassified_c__Gammaproteobacteria","unclassified_c__Gammaproteobacteria","unclassified_c__Gammaproteobacteria"
"Bin54",8.35875355578206e-07,"Bacteria","Pseudomonadota","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"Bin77",1.8096861642254e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin45",8.35875355578206e-07,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosomonas"
"Bin26",1.8096861642254e-06,"Bacteria","Gemmatimonadota","Gemmatimonadia","Gemmatimonadales","Gemmatimonadaceae","norank_f__Gemmatimonadaceae"
"Bin25",1.35726462316905e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin78",9.048430821127e-07,"Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast","norank_o__Chloroplast","norank_o__Chloroplast"
"Bin50",2.56957117250391e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Porticoccaceae","Porticoccus"
"Bin20",1.8096861642254e-06,"Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","norank_o__0319-6G20","norank_o__0319-6G20"
"Bin6",9.048430821127e-07,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","unclassified_o__Sphingobacteriales","unclassified_o__Sphingobacteriales"
"Bin89",1.39398319336273e-06,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Jorgensenbacteria","norank_o__Candidatus_Jorgensenbacteria","norank_o__Candidatus_Jorgensenbacteria"
"Bin46",1.35726462316905e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_f__Comamonadaceae"
"Bin20",2.7966926938819e-06,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas"
"Bin78",6.13859828773804e-05,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Methylophilaceae","unclassified_f__Methylophilaceae"
"Bin45",1.25856043930639e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","B1-7BS","norank_f__B1-7BS"
"Bin13",1.36926122191371e-06,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Weissella"
"Bin35",1.87220098570374e-05,"Bacteria","Pseudomonadota","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","norank_f__Paracaedibacteraceae"
"Bin16",9.048430821127e-07,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin78",3.60831831928185e-06,"Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast","norank_o__Chloroplast","norank_o__Chloroplast"
"Bin36",9.048430821127e-07,"Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"Bin14",9.048430821127e-07,"Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Anaerovorax"
"Bin90",1.35726462316905e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin90",1.30487444457152e-06,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","norank_o__Candidatus_Kaiserbacteria","norank_o__Candidatus_Kaiserbacteria"
"Bin73",2.17958773712095e-06,"Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","Simkaniaceae","norank_f__Simkaniaceae"
"Bin90",2.05253720914467e-06,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria","norank_o__Candidatus_Campbellbacteria","norank_o__Candidatus_Campbellbacteria"
"Bin6",9.048430821127e-07,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin39",2.26210770528175e-06,"Bacteria","Actinomycetota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade"
"Bin21",2.01969410725718e-06,"Bacteria","Dependentiae","Babeliae","Babeliales","norank_o__Babeliales","norank_o__Babeliales"
"Bin45",1.35726462316905e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","SC-I-84","norank_f__SC-I-84"
"Bin19",5.85979657155505e-06,"Bacteria","Myxococcota","Polyangiia","Blfdi19","norank_o__Blfdi19","norank_o__Blfdi19"
"Bin91",1.35726462316905e-06,"Bacteria","Patescibacteria","Parcubacteria","norank_c__Parcubacteria","norank_c__Parcubacteria","norank_c__Parcubacteria"
"Bin90",9.048430821127e-07,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","norank_o__Candidatus_Kaiserbacteria","norank_o__Candidatus_Kaiserbacteria"
"Bin49",9.048430821127e-07,"Bacteria","Pseudomonadota","Gammaproteobacteria","Methylococcales","Methylomonadaceae","norank_f__Methylomonadaceae"
"Bin58",3.90160525687888e-06,"Bacteria","Dependentiae","Babeliae","Babeliales","norank_o__Babeliales","norank_o__Babeliales"
"Bin45",1.35726462316905e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","unclassified_c__Gammaproteobacteria","unclassified_c__Gammaproteobacteria","unclassified_c__Gammaproteobacteria"
"Bin78",1.35726462316905e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin78",2.77248785257106e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_f__Comamonadaceae"
"Bin68",1.8096861642254e-06,"Bacteria","Latescibacterota","norank_p__Latescibacterota","norank_p__Latescibacterota","norank_p__Latescibacterota","norank_p__Latescibacterota"
"Bin9",8.49587263923798e-06,"Bacteria","Acidobacteriota","Blastocatellia","11月24日","norank_o__11-24","norank_o__11-24"
"Bin77",9.048430821127e-07,"Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","cvE6","norank_f__cvE6"
"Bin81",3.14663614388895e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_f__Comamonadaceae"
"Bin16",9.048430821127e-07,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","norank_o__Vicinamibacterales","norank_o__Vicinamibacterales"
"Bin75",9.048430821127e-07,"Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","cvE6","norank_f__cvE6"
"Bin43",9.048430821127e-07,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin66",9.048430821127e-07,"Bacteria","Actinomycetota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade"
"Bin33",1.40684506602454e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus"
"Bin90",9.048430821127e-07,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","norank_o__Candidatus_Kaiserbacteria","norank_o__Candidatus_Kaiserbacteria"
"Bin3",1.69532128416989e-06,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","BSV13"
"Bin81",2.26210770528175e-06,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium"
"Bin90",9.54423524968191e-07,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","norank_o__Candidatus_Kaiserbacteria","norank_o__Candidatus_Kaiserbacteria"
"Bin84",1.35726462316905e-06,"Bacteria","Chloroflexota","unclassified_p__Chloroflexota","unclassified_p__Chloroflexota","unclassified_p__Chloroflexota","unclassified_p__Chloroflexota"
"Bin92",9.048430821127e-07,"Bacteria","Patescibacteria","ABY1","Candidatus_Kerfeldbacteria","norank_o__Candidatus_Kerfeldbacteria","norank_o__Candidatus_Kerfeldbacteria"
"Bin5",9.048430821127e-07,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","norank_f__37-13"
"Bin65",2.0381091972463e-06,"Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Mycobacteriaceae","Mycobacterium"
"Bin38",1.35726462316905e-06,"Bacteria","Chloroflexota","unclassified_p__Chloroflexota","unclassified_p__Chloroflexota","unclassified_p__Chloroflexota","unclassified_p__Chloroflexota"
"Bin88",2.27063331548757e-06,"Bacteria","Patescibacteria","WWE3","norank_c__WWE3","norank_c__WWE3","norank_c__WWE3"
"Bin42",2.74846802529491e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_f__Comamonadaceae"
"Bin65",0.000102515826773354,"Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola"
"Bin33",6.096356476505e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","unclassified_f__Rhizobiaceae"
"Bin78",1.35726462316905e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin23",9.048430821127e-07,"Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae","norank_f__Vermiphilaceae"
"Bin78",1.35726462316905e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin19",2.2297168487545e-06,"Bacteria","Myxococcota","Polyangiia","Haliangiales","Haliangiaceae","norank_f__Haliangiaceae"
"Bin45",1.39501897683076e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","DSSD61"
"Bin36",9.048430821127e-07,"Bacteria","Bacillota","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium"
"Bin81",9.048430821127e-07,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin61",9.048430821127e-07,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidiferrimicrobium"
"Bin49",9.048430821127e-07,"Bacteria","Pseudomonadota","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylobacter"
"Bin42",1.35726462316905e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","unclassified_o__Burkholderiales","unclassified_o__Burkholderiales"
"Bin70",9.048430821127e-07,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin90",9.048430821127e-07,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Zambryskibacteria","norank_o__Candidatus_Zambryskibacteria","norank_o__Candidatus_Zambryskibacteria"
"Bin81",9.048430821127e-07,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax"
"Bin83",9.048430821127e-07,"Bacteria","Chloroflexota","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolinea"
"Bin88",1.35726462316905e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin66",9.048430821127e-07,"Bacteria","Actinomycetota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade"
"Bin49",1.8096861642254e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylobacter"
"Bin24",1.35726462316905e-06,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1"
"Bin66",8.01920906371287e-06,"Bacteria","Actinomycetota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade"
"Bin88",9.048430821127e-07,"Bacteria","Patescibacteria","Berkelbacteria","norank_c__Berkelbacteria","norank_c__Berkelbacteria","norank_c__Berkelbacteria"
"Bin24",9.048430821127e-07,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Pedosphaerales","Pedosphaeraceae","unclassified_f__Pedosphaeraceae"
"Bin60",3.00458292724652e-06,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidiferrimicrobium"
"Bin76",9.048430821127e-07,"Bacteria","Acidobacteriota","Holophagae","Holophagales","Holophagaceae","marine_group"
"Bin81",9.048430821127e-07,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_f__Comamonadaceae"
"Bin60",9.048430821127e-07,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidiferrimicrobium"
"Bin49",1.35726462316905e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin25",9.048430821127e-07,"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3"
